year,date,confirm_add,confirm,heal,dead
2020,03.06,1,1,0,0
2020,03.07,0,1,0,0
2020,03.08,0,1,0,0
2020,03.09,0,1,0,0
2020,03.10,0,1,0,0
2020,03.11,0,1,0,0
2020,03.12,0,1,0,0
2020,03.13,0,1,0,0
2020,03.14,0,1,0,0
2020,03.15,0,1,0,0
2020,03.16,0,1,0,0
2020,03.17,0,1,0,0
2020,03.18,0,1,0,0
2020,03.19,0,1,0,0
2020,03.20,0,1,0,0
2020,03.21,1,2,0,0
2020,03.22,0,2,0,0
2020,03.23,0,2,0,0
2020,03.24,0,2,0,0
2020,03.25,0,2,0,0
2020,03.26,0,2,0,0
2020,03.27,1,3,0,0
2020,03.28,1,3,0,0
2020,03.29,1,4,0,0
2020,03.30,1,4,0,0
2020,03.31,0,4,0,0
2020,04.01,0,4,0,0
2020,04.02,1,5,1,0
2020,04.03,0,5,2,0
2020,04.04,0,5,2,0
2020,04.05,0,5,2,0
2020,04.06,0,5,2,0
2020,04.07,0,5,2,0
2020,04.08,0,5,2,0
2020,04.09,0,5,2,0
2020,04.10,0,5,2,0
2020,04.11,0,5,2,0
2020,04.12,0,5,2,0
2020,04.13,0,5,2,0
2020,04.14,0,5,2,0
2020,04.15,0,5,2,0
2020,04.16,0,5,2,0
2020,04.17,0,5,2,0
2020,04.18,0,5,2,0
2020,04.19,0,5,2,0
2020,04.20,0,5,2,0
2020,04.21,1,6,2,0
2020,04.22,0,6,2,0
2020,04.23,1,7,3,0
2020,04.24,0,7,3,0
2020,04.25,0,7,3,0
2020,04.26,0,7,4,0
2020,04.27,0,7,4,0
2020,04.28,0,7,5,0
2020,04.29,0,7,5,0
2020,04.30,0,7,5,0
2020,05.01,0,7,5,0
2020,05.02,0,7,5,0
2020,05.03,0,7,5,0
2020,05.04,0,7,5,0
2020,05.05,0,7,5,0
2020,05.06,0,7,5,0
2020,05.07,0,7,5,0
2020,05.08,0,7,5,0
2020,05.09,0,7,5,0
2020,05.10,0,7,5,0
2020,05.11,2,9,5,0
2020,05.12,2,11,5,0
2020,05.13,0,11,5,0
2020,05.14,8,19,5,0
2020,05.15,2,21,5,0
2020,05.16,0,21,5,0
2020,05.17,0,21,5,0
2020,05.18,0,21,5,0
2020,05.19,0,21,5,0
2020,05.20,0,21,5,0
2020,05.21,0,21,6,0
2020,05.22,0,21,6,0
