year,date,confirm_add,confirm,heal,dead
2020,03.15,1,1,0,0
2020,03.16,0,1,0,0
2020,03.17,0,1,0,0
2020,03.18,0,1,0,0
2020,03.19,2,3,0,0
2020,03.20,0,3,0,0
2020,03.21,0,3,0,0
2020,03.22,1,4,0,0
2020,03.23,-1,3,0,0
2020,03.24,1,4,0,0
2020,03.25,0,4,0,0
2020,03.26,0,4,0,0
2020,03.27,0,4,0,0
2020,03.28,15,19,0,0
2020,03.29,0,19,0,0
2020,03.30,0,19,0,0
2020,03.31,0,19,0,0
2020,04.01,0,19,0,0
2020,04.02,3,22,2,2
2020,04.03,0,22,2,2
2020,04.04,0,22,2,2
2020,04.05,23,45,2,5
2020,04.06,0,45,2,5
2020,04.07,0,45,2,5
2020,04.08,0,45,2,5
2020,04.09,15,60,5,5
2020,04.10,0,60,5,5
2020,04.11,0,60,5,5
2020,04.12,0,60,5,5
2020,04.13,0,60,5,5
2020,04.14,0,60,5,5
2020,04.15,14,74,10,5
2020,04.16,43,117,11,5
2020,04.17,0,117,11,5
2020,04.18,26,143,11,6
2020,04.19,0,143,11,6
2020,04.20,17,160,16,6
2020,04.21,0,160,16,6
2020,04.22,5,165,16,6
2020,04.23,21,186,16,6
2020,04.24,0,186,16,6
2020,04.25,14,200,19,6
2020,04.26,0,200,19,6
2020,04.27,0,200,19,6
2020,04.28,7,207,19,8
2020,04.29,0,207,19,8
2020,04.30,13,220,19,9
2020,05.01,0,220,19,9
2020,05.02,9,229,25,9
2020,05.03,0,229,25,9
2020,05.04,0,229,25,9
2020,05.05,7,236,26,10
2020,05.06,0,236,26,10
2020,05.07,28,264,30,10
2020,05.08,10,274,33,10
2020,05.09,0,274,33,10
2020,05.10,0,274,33,10
2020,05.11,0,274,33,10
2020,05.12,59,333,53,11
2020,05.13,0,333,53,11
2020,05.14,0,333,53,11
2020,05.15,58,391,87,15
2020,05.16,0,391,87,15
2020,05.17,0,391,87,15
2020,05.18,0,391,87,15
2020,05.19,21,412,110,15
2020,05.20,8,420,132,15
2020,05.21,0,420,132,15
2020,05.22,49,469,137,16
2020,05.23,0,469,137,16
2020,05.24,18,487,147,16
2020,05.25,0,487,147,16
2020,05.26,0,487,147,16
2020,05.27,0,487,147,16
2020,05.28,84,571,161,19
2020,05.29,0,571,161,19
2020,05.30,0,571,161,19
2020,05.31,0,571,161,19
2020,06.01,40,611,179,20
2020,06.02,0,611,179,20
2020,06.03,0,611,179,20
2020,06.04,0,611,179,20
2020,06.05,0,611,179,20
2020,06.06,24,635,182,20
2020,06.07,48,683,210,22
2020,06.08,0,683,210,22
2020,06.09,0,683,210,22
2020,06.10,45,728,221,24
2020,06.11,0,728,221,24
2020,06.12,0,728,221,24
2020,06.13,0,728,221,24
2020,06.14,0,728,221,24
2020,06.15,0,728,221,24
2020,06.16,155,883,391,27
2020,06.17,0,883,391,27
2020,06.18,0,883,391,27
2020,06.19,0,883,391,27
2020,06.20,0,883,391,27
2020,06.21,0,883,391,27
2020,06.22,0,883,391,27
2020,06.23,204,1087,456,37
2020,06.24,0,1087,456,37
2020,06.25,0,1087,456,37
2020,06.26,0,1087,456,37
2020,06.27,0,1087,456,37
2020,06.28,0,1087,456,37
2020,06.29,0,1087,456,37
2020,06.30,0,1087,456,37
2020,07.01,0,1087,456,37
2020,07.02,295,1382,486,41
2020,07.03,0,1382,486,41
2020,07.04,175,1557,501,44
2020,07.05,0,1557,501,44
2020,07.06,0,1557,501,44
2020,07.07,0,1557,501,44
2020,07.08,0,1557,501,44
2020,07.09,264,1821,525,47
2020,07.10,0,1821,525,47
2020,07.11,207,2028,589,47
2020,07.12,0,2028,589,47
2020,07.13,0,2028,589,47
2020,07.14,0,2028,589,47
2020,07.15,194,2222,589,47
2020,07.16,0,2222,589,47
2020,07.17,136,2358,589,48
2020,07.18,275,2633,626,49
2020,07.19,0,2633,626,49
2020,07.20,0,2633,626,49
2020,07.21,218,2851,666,50
2020,07.22,0,2851,666,50
2020,07.23,0,2851,666,50
2020,07.24,187,3038,756,51
2020,07.25,0,3038,756,51
2020,07.26,0,3038,756,51
2020,07.27,0,3038,756,51
2020,07.28,162,3200,829,54
2020,07.29,0,3200,829,54
2020,07.30,0,3200,829,54
2020,07.31,0,3200,829,54
2020,08.01,0,3200,829,54
2020,08.02,0,3200,829,54
2020,08.03,0,3200,829,54
2020,08.04,346,3546,1589,58
2020,08.05,0,3546,1589,58
2020,08.06,0,3546,1589,58
2020,08.07,0,3546,1589,58
2020,08.08,91,3637,1589,58
2020,08.09,27,3664,1589,58
2020,08.10,0,3664,1589,58
2020,08.11,0,3664,1589,58
2020,08.12,81,3745,1625,60
2020,08.13,0,3745,1625,60
2020,08.14,0,3745,1625,60
2020,08.15,0,3745,1625,60
2020,08.16,0,3745,1625,60
2020,08.17,86,3831,1625,76
2020,08.18,0,3831,1625,76
2020,08.19,0,3831,1625,76
