year,date,confirm_add,confirm,heal,dead
2020,01.28,0,2,0,0
2020,01.29,0,2,0,0
2020,01.30,1,3,1,0
2020,01.31,0,3,1,0
2020,02.01,1,4,0,0
2020,02.02,0,4,0,0
2020,02.03,0,4,0,0
2020,02.04,0,4,0,0
2020,02.05,1,5,0,0
2020,02.06,0,5,0,0
2020,02.07,0,5,0,0
2020,02.08,0,5,0,0
2020,02.09,2,7,0,0
2020,02.10,0,7,0,0
2020,02.11,0,7,0,0
2020,02.12,0,7,0,0
2020,02.13,0,7,0,0
2020,02.14,0,7,0,0
2020,02.15,1,8,1,0
2020,02.16,0,8,1,0
2020,02.17,0,8,1,0
2020,02.18,0,8,1,0
2020,02.19,0,8,1,0
2020,02.20,0,8,1,0
2020,02.21,0,8,3,0
2020,02.22,0,8,3,0
2020,02.23,0,8,3,0
2020,02.24,2,10,4,0
2020,02.25,1,11,4,0
2020,02.26,0,11,4,0
2020,02.27,1,12,4,0
2020,02.28,2,14,4,0
2020,02.29,2,16,4,0
2020,03.01,4,20,4,0
2020,03.02,4,24,7,0
2020,03.03,3,27,7,0
2020,03.04,6,33,7,0
2020,03.05,1,34,7,0
2020,03.06,14,48,7,0
2020,03.07,6,54,7,0
2020,03.08,4,60,7,0
2020,03.09,6,66,7,0
2020,03.10,11,77,8,1
2020,03.11,20,97,8,1
2020,03.12,21,118,9,1
2020,03.13,40,158,11,1
2020,03.14,67,225,11,1
2020,03.15,28,253,11,1
2020,03.16,60,313,11,1
2020,03.17,123,436,11,4
2020,03.18,161,597,11,8
2020,03.19,130,727,12,9
2020,03.20,196,923,12,12
2020,03.21,223,1146,14,12
2020,03.22,231,1377,14,19
2020,03.23,95,1472,14,21
2020,03.24,619,2091,109,25
2020,03.25,801,2892,110,35
2020,03.26,517,3409,183,36
2020,03.27,634,4043,197,39
2020,03.28,714,4757,354,55
2020,03.29,1110,5867,466,63
2020,03.30,453,6320,466,65
2020,03.31,1128,7448,1020,89
2020,04.01,1143,8591,1592,102
2020,04.02,1140,9731,1526,112
2020,04.03,1553,11284,1971,139
2020,04.04,1261,12545,2321,188
2020,04.05,1855,14400,2770,234
2020,04.06,1540,15940,3081,281
2020,04.07,727,16667,3613,323
2020,04.08,1230,17897,4047,381
2020,04.09,1393,19290,4646,436
2020,04.10,1475,20765,5311,510
2020,04.11,1383,22148,6013,570
2020,04.12,1569,23717,6650,675
2020,04.13,663,24380,7172,717
2020,04.14,1300,25680,7758,780
2020,04.15,1383,27063,8235,903
2020,04.16,1316,28379,8979,1010
2020,04.17,2621,31000,9730,1231
2020,04.18,1857,32857,10559,1356
2020,04.19,1529,34386,11216,1520
2020,04.20,1653,36039,11852,1626
2020,04.21,1894,37933,12747,1753
2020,04.22,1472,39405,13605,1915
2020,04.23,2262,41667,14504,2081
2020,04.24,1740,43407,15233,2250
2020,04.25,1778,44526,15479,2386
2020,04.26,995,45521,16504,2549
2020,04.27,1645,47166,17408,2663
2020,04.28,2520,49686,18707,2841
2020,04.29,1498,51184,19879,2985
2020,04.30,1681,52865,20327,3155
2020,05.01,1592,54457,21424,3310
2020,05.02,1886,56343,22764,3537
2020,05.03,1583,57926,23795,3684
2020,05.04,2631,60557,25421,3801
2020,05.05,1400,61957,26030,4003
2020,05.06,1258,63215,27006,4190
2020,05.07,1518,64733,28531,4366
2020,05.08,1469,66202,29274,4543
2020,05.09,1527,67729,30632,4697
2020,05.10,1218,68947,31657,4824
2020,05.11,1190,70137,32468,4991
2020,05.12,1157,71294,33267,5116
2020,05.13,1150,72444,34509,5300
2020,05.14,1168,73612,35536,5425
2020,05.15,1218,74830,36541,5592
2020,05.16,1145,75975,37287,5680
2020,05.17,1282,77257,38172,5801
2020,05.18,1075,78332,38563,5903
2020,05.19,1079,79411,39511,5960
2020,05.20,1126,80537,40361,6029
2020,05.21,1038,81575,40793,6150
2020,05.22,1175,82750,41731,6267
2020,05.23,1211,83961,42987,6360
2020,05.24,1190,85151,43318,6466
2020,05.25,998,86149,44219,6534
2020,05.26,973,87122,44651,6655
2020,05.27,982,88104,45766,6753
2020,05.28,911,89015,46480,6877
2020,05.29,987,90002,47163,6982
2020,05.30,908,90910,47907,7063
2020,05.31,771,91681,48517,7159
2020,06.01,942,92623,49257,7374
2020,06.02,665,93288,50091,7404
2020,06.03,670,93958,50722,7476
2020,06.04,706,94664,51520,7580
2020,06.05,605,95269,52184,7717
2020,06.06,678,95947,53074,7778
2020,06.07,529,96476,54087,7851
2020,06.08,732,97208,54697,7877
2020,06.09,571,97779,55343,7910
2020,06.10,462,98241,56121,7970
2020,06.11,479,98720,57215,8038
2020,06.12,645,99365,58665,8114
2020,06.13,230,99595,59034,8125
2020,06.14,466,100061,59851,8183
2020,06.15,359,100420,60673,8218
2020,06.16,-1048,99372,61478,8228
2020,06.17,1715,101087,62648,8275
2020,06.18,422,101509,63280,8316
2020,06.19,406,101915,63784,8372
2020,06.20,411,102326,64318,8408
2020,06.21,436,102762,64826,8466
2020,06.22,316,103078,65249,8482
2020,06.23,340,103418,65721,8494
2020,06.24,349,103767,66136,8512
2020,06.25,320,104087,66533,8544
2020,06.26,383,104470,66869,8567
2020,06.27,159,104629,67182,8571
2020,06.28,273,104902,67449,8576
2020,06.29,391,105293,67689,8582
2020,06.30,537,105830,68698,8628
2020,07.01,276,106106,69120,8650
2020,07.02,182,106288,69397,8678
2020,07.03,355,106643,69872,8700
2020,07.04,338,106981,70242,8726
2020,07.05,216,107197,70586,8732
2020,07.06,211,107408,70784,8739
2020,07.07,407,107815,71141,8748
2020,07.08,217,108032,71418,8765
2020,07.09,302,108334,71805,8786
2020,07.10,334,108668,72174,8798
2020,07.11,316,108984,72466,8811
2020,07.12,166,109150,72784,8818
2020,07.13,220,109370,72954,8829
2020,07.14,688,110058,73420,8836
2020,07.15,299,110357,73713,8845
2020,07.16,336,110693,74067,8857
2020,07.17,478,111171,74433,8875
2020,07.18,388,111559,98281,8884
2020,07.19,316,111875,98436,8892
2020,07.20,293,112168,98564,8896
2020,07.21,770,112938,98975,8902
2020,07.22,535,113473,99249,8908
2020,07.23,484,113957,99589,8915
2020,07.24,538,114495,100000,8917
2020,07.25,880,115375,100628,8927
2020,07.26,95,115470,100765,8929
2020,07.27,319,115789,100969,8934
2020,07.28,682,116471,101447,8945
2020,07.29,437,116908,101686,8957
2020,07.30,449,117357,101992,8962
2020,07.31,323,117680,102345,8974
2020,08.01,635,118315,102996,8980
2020,08.02,208,118523,103073,8986
2020,08.03,245,118768,103201,8990
2020,08.04,252,119020,103284,8995
2020,08.05,639,119659,104058,9005
2020,08.06,374,120033,104377,9010
2020,08.07,354,120387,104678,9013
2020,08.08,516,120903,105128,9017
2020,08.09,245,121148,105263,9024
2020,08.10,263,121411,105424,9028
2020,08.11,657,122068,108118,9034
2020,08.12,321,122389,108468,9038
2020,08.13,423,122812,108863,9053
2020,08.14,380,123192,109260,9063
2020,08.15,438,123630,109657,9068
2020,08.16,195,123825,109933,9072
2020,08.17,209,124034,110278,9074
2020,08.18,779,124813,110816,9080
2020,08.19,271,125084,111092,9090
2020,08.20,324,125408,111559,9095
2020,08.21,400,125808,112032,9100
2020,08.22,542,126350,112423,9110
2020,08.23,210,126560,112621,9117
2020,08.24,291,126851,112882,9120
2020,08.25,766,127617,113476,9129
2020,08.26,316,127933,113864,9136
2020,08.27,482,128415,114266,9141
2020,08.28,443,128858,114619,9148
2020,08.29,484,129342,115029,9155
2020,08.30,297,129639,115294,9161
2020,08.31,289,129928,115460,9164
2020,09.01,1011,130939,116021,9173
2020,09.02,483,131422,116432,9179
2020,09.03,519,131941,116866,9182
2020,09.04,586,132527,117277,9189
2020,09.05,614,133141,117755,9190
2020,09.06,370,133511,117968,9192
2020,09.07,379,133890,118192,9194
2020,09.08,431,134321,118398,9196
2020,09.09,1465,135786,119457,9203
2020,09.10,582,136368,120160,9205
2020,09.11,652,137020,120897,9213
2020,09.12,656,137676,121537,9214
2020,09.13,488,138164,121944,9220
2020,09.14,623,138787,122346,9221
2020,09.15,1311,140098,123120,9229
2020,09.16,895,140993,123777,9239
2020,09.17,927,141920,124412,9244
2020,09.18,959,142879,124984,9249
2020,09.19,1174,144053,125654,9256
2020,09.20,646,144699,125984,9262
2020,09.21,1162,145861,126592,9269
2020,09.22,1883,147744,127750,9282
2020,09.23,1111,148855,128890,9286
2020,09.24,1201,150056,129890,9294
2020,09.25,1250,151306,130769,9300
2020,09.26,1495,152801,131757,9306
2020,09.27,1193,153994,132412,9313
2020,09.28,1434,155428,133204,9318
2020,09.29,2319,157747,134736,9331
2020,09.30,1650,159397,135995,9342
2020,10.01,1710,161107,137181,9346
2020,10.02,1996,163103,138631,9421
2020,10.03,2098,165201,139817,9476
2020,10.04,1368,166569,140897,9493
2020,10.05,2075,168644,142504,9533
2020,10.06,2850,171494,144652,9561
2020,10.07,2442,173936,146431,9582
2020,10.08,1897,175833,148212,9595
2020,10.09,2251,178084,150011,9609
2020,10.10,2706,180790,152147,9639
2020,10.11,1977,182767,153857,9661
2020,10.12,1636,184403,155901,9666
2020,10.13,1428,185831,157209,9680
2020,10.14,3801,189632,160325,9707
2020,10.15,2596,192228,162066,9719
2020,10.16,2296,194524,164254,9759
2020,10.17,2404,196928,166313,9781
2020,10.18,236,197164,166464,9782
2020,10.19,3762,200926,169871,9816
2020,10.20,3357,204283,172542,9834
2020,10.21,2204,206487,174644,9855
2020,10.22,2697,209184,171403,9883
2020,10.23,2845,212029,178674,9921
2020,10.24,2664,214693,180626,9940
2020,10.25,2300,216993,182441,9972
2020,10.26,2049,219042,184298,9998
2020,10.27,4042,223084,187100,10026
2020,10.28,2749,225833,189488,10053
2020,10.29,2659,228492,191726,10084
2020,10.30,3043,231535,194145,10132
2020,10.31,3590,235125,196935,10163
2020,11.01,2188,237313,198952,10187
2020,11.02,2336,239649,200768,10230
2020,11.03,3529,243178,203128,10262
2020,11.04,4738,247916,206691,10334
2020,11.05,3297,251213,209205,10390
2020,11.06,3140,254353,211203,10441
2020,11.07,4521,258874,214441,10493
2020,11.08,4346,263220,216338,10547
2020,11.09,3943,267163,218279,10575
2020,11.10,4871,272034,221758,10620
2020,11.11,4445,276479,224912,10693
2020,11.12,3986,280465,226829,10748
2020,11.13,5471,285936,230429,10828
2020,11.14,4769,290705,234404,10885
2020,11.15,4426,295131,236870,10947
2020,11.16,4291,299422,240434,11001
2020,11.17,6027,305449,244699,11075
2020,11.18,4428,309877,248859,11136
2020,11.19,4508,314385,253089,11238
2020,11.20,4790,319175,257310,11314
2020,11.21,4977,324152,261754,11385
2020,11.22,4932,329084,265568,11455
2020,11.23,4726,333810,269144,11502
2020,11.24,6921,340731,274315,11570
2020,11.25,5282,346013,278191,11676
2020,11.26,5311,351324,282201,11736
2020,11.27,5775,357099,285995,11819
2020,11.28,5906,363005,291607,11921
2020,11.29,5673,368678,295688,11995
2020,11.30,5422,374100,299302,12051
2020,12.01,7811,381911,304930,12151
2020,12.02,5182,387093,310035,12231
2020,12.03,6929,394022,314842,12343
2020,12.04,6207,400229,319591,12430
