year,date,confirm_add,confirm,heal,dead
2020,03.01,1,1,0,0
2020,03.02,1,6,0,0
2020,03.03,1,7,0,0
2020,03.04,0,7,0,0
2020,03.05,3,10,0,0
2020,03.06,3,13,0,0
2020,03.07,0,13,0,0
2020,03.08,0,13,0,0
2020,03.09,1,14,0,0
2020,03.10,0,14,0,0
2020,03.11,3,17,0,0
2020,03.12,0,17,0,0
2020,03.13,0,17,0,0
2020,03.14,6,23,0,1
2020,03.15,0,23,0,1
2020,03.16,14,37,0,1
2020,03.17,21,58,0,2
2020,03.18,53,111,0,2
2020,03.19,56,168,0,2
2020,03.20,92,260,1,3
2020,03.21,107,367,1,5
2020,03.22,165,532,3,7
2020,03.23,257,789,3,14
2020,03.24,192,981,3,18
2020,03.25,68,1049,3,27
2020,03.26,68,1049,3,27
2020,03.27,333,1382,3,34
2020,03.28,245,1627,3,41
2020,03.29,196,1823,3,48
2020,03.30,297,1924,3,58
2020,03.31,42,1966,54,62
2020,04.01,336,2302,58,79
2020,04.02,456,2758,58,98
2020,04.03,405,3163,65,120
2020,04.04,205,3368,65,145
2020,04.05,97,3465,100,172
2020,04.06,181,3646,100,180
2020,04.07,101,3747,100,191
2020,04.08,248,3995,140,220
2020,04.09,455,4450,140,242
2020,04.10,515,4965,339,272
2020,04.11,2196,7161,368,297
2020,04.12,96,7257,411,315
2020,04.13,209,7466,501,333
2020,04.14,63,7529,597,355
2020,04.15,74,7603,696,369
2020,04.16,255,7858,780,388
2020,04.17,367,8225,838,403
2020,04.18,225,8450,838,421
2020,04.19,572,9022,1008,456
2020,04.20,446,9468,1061,474
2020,04.21,660,10128,1150,507
2020,04.22,270,10398,1207,520
2020,04.23,452,10850,1262,537
2020,04.24,333,11183,1328,560
2020,04.25,11536,22719,1366,576
2020,04.26,0,22719,1366,576
2020,04.27,0,22719,1366,576
2020,04.28,521,23240,1557,663
2020,04.29,1018,24258,1557,871
2020,04.30,417,24675,1557,883
2020,05.01,259,24934,1558,900
2020,05.02,1402,26336,1913,1063
2020,05.03,1128,27464,2132,1371
2020,05.04,2074,29538,3300,1564
2020,05.05,2343,31881,3433,1569
2020,05.06,0,31881,3433,1569
2020,05.07,-2461,29420,3433,1618
2020,05.08,878,30298,3433,1654
2020,05.09,-1480,28818,3433,1704
2020,05.10,253,29071,3433,1717
2020,05.11,488,29559,3433,2127
2020,05.12,-50,29509,3433,2145
2020,05.13,910,30419,3433,2327
2020,05.14,67,30486,3433,2334
2020,05.15,16,30502,3433,2338
2020,05.16,965,31467,3433,2594
2020,05.17,1296,32763,3433,2688
2020,05.18,419,33182,3433,2736
2020,05.19,400,33582,3433,2799
2020,05.20,569,34151,3457,2839
2020,05.21,703,34854,3557,2888
2020,05.22,452,35306,3557,2939
2020,05.23,522,35828,3557,3056
2020,05.24,430,36258,3557,3096
2020,05.25,498,36756,3560,3108
2020,05.26,599,37355,18003,3203
2020,05.27,0,37355,18003,3203
2020,05.28,748,38103,18425,3275
2020,05.29,368,38471,18425,3313
2020,05.30,100,38571,19190,3334
2020,05.31,0,38571,19190,3334
2020,06.01,527,39098,19592,3358
2020,06.02,896,39994,19823,3394
2020,06.03,420,40414,20019,3438
2020,06.04,552,40966,20019,3486
2020,06.05,0,40966,20019,3486
2020,06.06,609,41575,20568,3534
2020,06.07,1153,42728,21020,3608
2020,06.08,392,43120,21020,3621
2020,06.09,258,43378,21020,3642
2020,06.10,539,43917,21020,3690
2020,06.11,523,44440,21862,3720
2020,06.12,0,44440,21862,3720
2020,06.13,1338,45778,22679,3828
2020,06.14,578,46356,22865,3874
2020,06.15,395,46751,23064,3896
2020,06.16,571,47322,23349,3929
2020,06.17,621,47943,23684,3970
2020,06.18,547,48490,23881,4007
2020,06.19,607,49097,24123,4087
2020,06.20,634,49731,24446,4156
2020,06.21,0,49731,24446,4156
2020,06.22,909,50640,24991,4223
2020,06.23,0,50640,24991,4223
2020,06.24,1003,51643,24991,4274
2020,06.25,0,51643,24991,4274
2020,06.26,1513,53156,26097,4343
2020,06.27,700,53856,26493,4406
2020,06.28,718,54574,26920,4424
2020,06.29,681,55255,27058,4429
2020,06.30,410,55665,27430,4502
2020,07.01,767,56432,27594,4527
2020,07.02,1825,58257,27887,4576
2020,07.03,1211,59468,28032,4639
2020,07.04,1189,60657,28391,4700
2020,07.05,878,61535,28507,4769
2020,07.06,423,61958,28722,4781
2020,07.07,422,62380,28872,4821
2020,07.08,865,63245,29071,4873
2020,07.09,976,64221,29184,4900
2020,07.10,0,64221,29184,4900
2020,07.11,797,65018,29577,4939
2020,07.12,2191,67209,30107,5031
2020,07.13,661,67870,30283,5047
2020,07.14,589,68459,30369,5063
2020,07.15,1111,69570,30484,5130
2020,07.16,759,70329,30641,5158
2020,07.17,1036,71365,31260,5207
2020,07.18,1079,72444,31404,5250
2020,07.19,938,73382,31757,5282
2020,07.20,631,74013,31901,5313
2020,07.21,607,74620,31955,5318
2020,07.22,1597,76217,32725,5366
2020,07.23,1040,77257,33125,5418
2020,07.24,891,78148,33455,5439
2020,07.25,901,79049,34544,5468
2020,07.26,987,80036,34544,5507
2020,07.27,658,80694,34896,5515
2020,07.28,467,81161,34896,5532
2020,07.29,1118,82279,35283,5584
2020,07.30,914,83193,35572,5623
2020,07.31,1177,84370,35824,5657
2020,08.01,985,85355,36044,5702
2020,08.02,877,86232,36213,5736
2020,08.03,292,86524,59344,5750
2020,08.04,517,87041,59344,5767
2020,08.05,922,87963,70985,5808
2020,08.06,903,88866,71168,5847
2020,08.07,1671,90537,71318,5877
2020,08.08,1432,91969,71463,5897
2020,08.09,1603,93572,71605,5916
2020,08.10,887,94459,78552,5922
2020,08.11,242,94701,78608,5932
2020,08.12,862,95563,78610,5951
2020,08.13,1547,97110,78887,5984
2020,08.14,1233,98343,78957,6010
2020,08.15,1066,99409,79176,6030
