year,date,confirm_add,confirm,heal,dead
2020,03.22,1,1,0,0
2020,03.23,0,1,0,0
2020,03.24,0,1,0,0
2020,03.25,0,1,0,0
2020,03.26,3,4,0,0
2020,03.27,2,6,0,0
2020,03.28,0,6,0,0
2020,03.29,0,6,0,0
2020,03.30,6,12,0,0
2020,03.31,3,15,0,0
2020,04.01,0,15,0,0
2020,04.02,3,18,0,0
2020,04.03,4,22,0,0
2020,04.04,0,22,0,0
2020,04.05,7,29,0,0
2020,04.06,0,29,0,0
2020,04.07,2,31,0,0
2020,04.08,0,31,0,0
2020,04.09,2,33,0,0
2020,04.10,0,33,0,0
2020,04.11,1,34,0,0
2020,04.12,0,34,0,0
2020,04.13,0,34,0,0
2020,04.14,0,34,0,0
2020,04.15,1,35,0,0
2020,04.16,0,35,0,0
2020,04.17,0,35,0,0
2020,04.18,0,35,0,0
2020,04.19,4,39,3,0
2020,04.20,0,39,3,0
2020,04.21,0,39,3,0
2020,04.22,0,39,6,0
2020,04.23,0,39,6,0
2020,04.24,0,39,11,0
2020,04.25,0,39,11,0
2020,04.26,0,39,13,0
2020,04.27,0,39,13,0
2020,04.28,0,39,13,0
2020,04.29,0,39,19,0
2020,04.30,0,39,19,0
2020,05.01,0,39,26,0
2020,05.02,0,39,26,0
2020,05.03,0,39,26,0
2020,05.04,0,39,26,0
2020,05.05,0,39,26,0
2020,05.06,0,39,30,0
2020,05.07,0,39,30,0
2020,05.08,0,39,30,0
2020,05.09,0,39,37,0
2020,05.10,0,39,37,0
2020,05.11,0,39,37,0
2020,05.12,0,39,38,0
2020,05.13,0,39,38,0
2020,05.14,0,39,38,0
2020,05.15,0,39,38,0
2020,05.16,0,39,39,0
2020,05.17,0,39,39,0
2020,05.18,0,39,39,0
2020,05.19,0,39,39,0
2020,05.20,0,39,39,0
2020,05.21,0,39,39,0
2020,05.22,0,39,39,0
2020,05.23,0,39,39,0
2020,05.24,0,39,39,0
2020,05.25,0,39,39,0
2020,05.26,0,39,39,0
2020,05.27,0,39,39,0
2020,05.28,0,39,39,0
2020,05.29,0,39,39,0
2020,05.30,0,39,39,0
2020,05.31,0,39,39,0
2020,06.01,0,39,39,0
2020,06.02,0,39,39,0
2020,06.03,0,39,39,0
2020,06.04,0,39,39,0
2020,06.05,0,39,39,0
2020,06.06,0,39,39,0
2020,06.07,0,39,39,0
2020,06.08,0,39,39,0
2020,06.09,0,39,39,0
2020,06.10,0,39,39,0
2020,06.11,2,41,39,0
2020,06.12,0,41,39,0
2020,06.13,0,41,39,0
2020,06.14,24,65,39,0
2020,06.15,31,96,39,0
2020,06.16,13,109,39,0
2020,06.17,12,121,39,0
2020,06.18,10,131,39,0
2020,06.19,11,142,39,0
2020,06.20,0,142,39,0
2020,06.21,1,143,39,0
2020,06.22,0,143,39,0
2020,06.23,0,143,39,0
2020,06.24,0,143,39,0
2020,06.25,1,144,39,0
2020,06.26,0,144,39,0
2020,06.27,23,167,53,0
2020,06.28,24,191,53,0
2020,06.29,0,191,53,0
2020,06.30,0,191,53,0
2020,07.01,12,203,53,0
2020,07.02,0,203,56,0
2020,07.03,12,215,56,0
2020,07.04,0,215,56,0
2020,07.05,0,215,56,0
2020,07.06,0,215,56,0
2020,07.07,0,215,56,0
2020,07.08,0,215,56,0
2020,07.09,0,215,56,0
2020,07.10,17,232,107,0
2020,07.11,0,232,107,0
2020,07.12,0,232,107,0
2020,07.13,0,232,107,0
2020,07.14,0,232,107,0
2020,07.15,0,232,107,0
2020,07.16,0,232,107,0
2020,07.17,19,251,149,0
2020,07.18,0,251,155,0
2020,07.19,0,251,155,0
2020,07.20,0,251,155,0
2020,07.21,0,251,155,0
2020,07.22,0,251,155,0
2020,07.23,0,251,155,0
2020,07.24,10,261,189,0
2020,07.25,0,261,189,0
2020,07.26,2,263,189,0
2020,07.27,0,263,189,0
2020,07.28,2,265,191,0
2020,07.29,0,265,191,0
2020,07.30,0,265,191,0
2020,07.31,14,279,225,0
2020,08.01,0,279,225,0
2020,08.02,0,279,225,0
2020,08.03,0,279,225,0
2020,08.04,3,282,225,0
2020,08.05,0,282,225,0
2020,08.06,0,282,225,0
2020,08.07,0,282,225,0
2020,08.08,3,285,245,0
2020,08.09,0,285,245,0
2020,08.10,0,285,245,0
2020,08.11,0,285,248,0
2020,08.12,0,285,248,0
2020,08.13,0,285,248,0
2020,08.14,0,285,248,0
2020,08.15,0,285,248,0
2020,08.16,0,285,248,0
2020,08.17,0,285,248,0
2020,08.18,0,285,248,0
2020,08.19,19,304,261,0
2020,08.20,0,304,261,0
2020,08.21,2,306,274,0
2020,08.22,0,306,274,0
2020,08.23,0,306,274,0
2020,08.24,0,306,274,0
2020,08.25,0,306,274,0
2020,08.26,9,315,276,0
2020,08.27,0,315,276,0
2020,08.28,2,317,284,0
2020,08.29,0,317,284,0
2020,08.30,1,318,284,0
2020,08.31,0,318,284,0
2020,09.01,1,319,284,0
2020,09.02,0,319,284,0
2020,09.03,0,319,284,0
2020,09.04,11,330,295,0
2020,09.05,0,330,295,0
2020,09.06,0,330,295,0
2020,09.07,0,330,295,0
2020,09.08,0,330,295,0
2020,09.09,11,341,295,0
2020,09.10,0,341,295,0
2020,09.11,20,361,304,0
2020,09.12,0,361,304,0
2020,09.13,0,361,304,0
2020,09.14,0,361,304,0
2020,09.15,0,361,304,0
2020,09.16,3,364,305,0
2020,09.17,0,364,305,0
2020,09.18,0,364,305,0
2020,09.19,0,364,305,0
2020,09.20,0,364,305,0
2020,09.21,0,364,305,0
2020,09.22,0,364,305,0
2020,09.23,0,364,309,0
2020,09.24,0,364,309,0
2020,09.25,5,369,330,0
2020,09.26,0,369,330,0
2020,09.27,6,375,341,0
2020,09.28,0,375,341,0
2020,09.29,0,375,341,0
2020,09.30,0,375,341,0
2020,10.01,0,375,341,0
2020,10.02,6,381,353,0
2020,10.03,0,381,353,0
2020,10.04,17,398,358,0
2020,10.05,0,398,358,0
2020,10.06,0,398,358,0
2020,10.07,0,398,358,0
2020,10.08,0,398,358,0
2020,10.09,7,405,364,0
2020,10.10,0,405,364,0
2020,10.11,9,414,372,0
2020,10.12,0,414,372,0
2020,10.13,0,414,372,0
2020,10.14,0,414,372,0
2020,10.15,0,414,372,0
2020,10.16,8,422,376,0
2020,10.17,30,452,388,0
2020,10.18,0,452,388,0
2020,10.19,0,452,388,0
2020,10.20,0,452,388,0
2020,10.21,0,452,388,0
2020,10.22,5,457,391,0
2020,10.23,0,457,391,0
2020,10.24,4,461,405,0
2020,10.25,0,461,405,0
2020,10.26,0,461,405,0
2020,10.27,0,461,405,0
2020,10.28,0,461,405,0
2020,10.29,0,461,405,0
2020,10.30,2,463,412,0
2020,10.31,0,463,412,0
2020,11.01,0,463,412,0
2020,11.02,0,463,412,0
2020,11.03,17,480,426,0
2020,11.04,0,480,426,0
2020,11.05,0,480,426,0
2020,11.06,4,484,429,0
2020,11.07,0,484,429,0
2020,11.08,7,491,438,0
2020,11.09,0,491,438,0
2020,11.10,0,491,438,0
2020,11.11,0,491,438,0
2020,11.12,0,491,438,0
2020,11.13,2,493,444,0
2020,11.14,0,493,444,0
2020,11.15,0,493,444,0
2020,11.16,0,493,444,0
2020,11.17,25,518,451,0
2020,11.18,0,518,451,0
2020,11.19,0,518,451,0
2020,11.20,9,527,456,0
2020,11.21,24,551,473,0
2020,11.22,0,551,473,0
2020,11.23,0,551,473,0
2020,11.24,7,558,473,0
2020,11.25,0,558,473,0
2020,11.26,8,566,477,0
2020,11.27,0,566,477,0
2020,11.28,11,577,498,0
2020,11.29,0,577,498,0
2020,11.30,0,577,498,0
2020,12.01,0,577,498,0
2020,12.02,0,577,498,0
2020,12.03,0,577,498,0
2020,12.04,17,594,498,0
2020,12.05,38,632,508,0
2020,12.06,0,632,508,0
2020,12.07,0,632,508,0
2020,12.08,17,649,517,0
2020,12.09,0,649,517,0
2020,12.10,7,656,525,0
2020,12.11,0,656,525,0
2020,12.12,0,656,525,0
2020,12.13,55,711,564,0
2020,12.14,0,711,564,0
2020,12.15,0,711,564,0
2020,12.16,0,711,564,0
2020,12.17,0,711,564,0
2020,12.18,30,741,572,0
2020,12.19,0,741,572,0
2020,12.20,13,754,580,0
2020,12.21,0,754,580,0
2020,12.22,53,807,597,0
2020,12.23,25,832,599,1
2020,12.24,45,877,599,1
2020,12.25,74,951,600,1
2020,12.26,41,992,600,1
2020,12.27,0,992,600,1
2020,12.28,47,1039,623,1
2020,12.29,0,1039,623,1
2020,12.30,181,1220,643,1
2020,12.31,32,1252,643,1
2021,01.01,0,1252,643,1
2021,01.02,0,1252,643,1
2021,01.03,0,1252,643,1
2021,01.04,0,1252,643,1
2021,01.05,0,1252,643,1
2021,01.06,0,1252,643,1
2021,01.07,0,1252,643,1
2021,01.08,193,1445,740,3
2021,01.09,0,1445,740,3
2021,01.10,0,1445,740,3
2021,01.11,111,1556,803,6
2021,01.12,0,1556,803,6
2021,01.13,40,1596,934,6
2021,01.14,0,1596,1014,6
2021,01.15,209,1805,1014,6
2021,01.16,72,1877,1073,6
2021,01.17,0,1877,1073,6
2021,01.18,0,1877,1073,6
2021,01.19,0,1877,1073,6
2021,01.20,0,1877,1073,6
2021,01.21,33,1910,1234,6
2021,01.22,3,1913,1304,6
2021,01.23,27,1940,1304,6
2021,01.24,0,1940,1304,6
2021,01.25,0,1940,1304,6
2021,01.26,10,1950,1378,7
2021,01.27,20,1970,1530,7
2021,01.28,115,2085,1549,7
2021,01.29,0,2085,1549,7
2021,01.30,50,2135,1594,7
2021,01.31,0,2135,1594,7
2021,02.01,0,2135,1594,7
2021,02.02,0,2135,1594,7
2021,02.03,132,2267,1657,7
2021,02.04,42,2309,1683,7
2021,02.05,0,2309,1683,7
2021,02.06,17,2326,1719,7
2021,02.07,0,2326,1719,7
2021,02.08,0,2326,1719,7
2021,02.09,0,2326,1719,7
2021,02.10,75,2401,1781,7
2021,02.11,17,2418,1824,7
2021,02.12,11,2429,1828,7
2021,02.13,0,2429,1828,7
2021,02.14,0,2429,1828,7
2021,02.15,0,2429,1828,7
2021,02.16,137,2566,1914,7
2021,02.17,0,2566,1914,7
2021,02.18,61,2627,1973,7
2021,02.19,48,2675,2050,7
2021,02.20,10,2685,2050,7
2021,02.21,0,2685,2050,7
2021,02.22,0,2685,2050,7
2021,02.23,18,2703,2068,7
2021,02.24,70,2773,2159,7
2021,02.25,16,2789,2173,7
2021,02.26,37,2826,2225,7
2021,02.27,21,2847,2253,7
2021,02.28,0,2847,2253,7
2021,03.01,0,2847,2253,7
2021,03.02,19,2866,2261,7
2021,03.03,18,2884,2344,7
2021,03.04,8,2892,2384,7
2021,03.05,21,2913,2388,7
2021,03.06,9,2922,2418,7
2021,03.07,22,2944,2436,7
2021,03.08,0,2944,2436,7
2021,03.09,0,2944,2436,7
2021,03.10,0,2944,2436,7
2021,03.11,44,2988,2538,7
2021,03.12,21,3009,2592,7
2021,03.13,29,3038,2631,7
2021,03.14,0,3038,2631,7
2021,03.15,0,3038,2631,7
2021,03.16,17,3055,2701,7
2021,03.17,7,3062,2731,7
2021,03.18,16,3078,2770,7
2021,03.19,17,3095,2833,7
2021,03.20,23,3118,2865,7
2021,03.21,0,3118,2865,7
2021,03.22,0,3118,2865,7
2021,03.23,0,3118,2865,7
2021,03.24,0,3118,2865,7
2021,03.25,65,3183,2962,8
2021,03.26,9,3192,2962,9
2021,03.27,16,3208,2970,9
2021,03.28,0,3208,2970,9
2021,03.29,0,3208,2970,9
2021,03.30,0,3208,2970,9
2021,03.31,43,3251,3029,9
2021,04.01,34,3285,3029,10
2021,04.02,23,3308,3049,10
2021,04.03,26,3334,3058,10
2021,04.04,0,3334,3058,10
2021,04.05,0,3334,3058,10
2021,04.06,6,3340,3064,10
2021,04.07,23,3363,3081,10
2021,04.08,11,3374,3138,10
2021,04.09,19,3393,3146,10
2021,04.10,54,3447,3166,10
2021,04.11,0,3447,3166,10
2021,04.12,0,3447,3166,10
2021,04.13,19,3466,3196,10
2021,04.14,3,3469,3231,10
2021,04.15,10,3479,3273,10
2021,04.16,7,3486,3280,10
2021,04.17,5,3491,3288,10
2021,04.18,0,3491,3288,10
2021,04.19,0,3491,3288,10
2021,04.20,46,3537,3334,10
2021,04.21,11,3548,3341,10
2021,04.22,16,3564,3389,10
2021,04.23,33,3597,3406,10
2021,04.24,8,3605,3410,10
2021,04.25,0,3605,3410,10
2021,04.26,0,3605,3410,10
2021,04.27,35,3640,3455,10
2021,04.28,0,3640,3455,10
2021,04.29,19,3659,3492,10
2021,04.30,12,3671,3492,10
2021,05.01,0,3671,3492,10
2021,05.02,0,3671,3492,10
2021,05.03,0,3671,3492,10
2021,05.04,2,3673,3496,12
2021,05.05,8,3681,3503,12
2021,05.06,26,3707,3538,12
2021,05.07,27,3734,3602,12
2021,05.08,8,3742,3602,12
2021,05.09,0,3742,3602,12
2021,05.10,0,3742,3602,12
2021,05.11,12,3754,3613,12
2021,05.12,64,3818,3627,12
2021,05.13,4,3822,3639,12
2021,05.14,0,3822,3639,12
2021,05.15,0,3822,3639,12
2021,05.16,22,3844,3654,12
2021,05.17,0,3844,3654,12
2021,05.18,24,3868,3676,14
2021,05.19,11,3879,3700,14
2021,05.20,8,3887,3700,14
2021,05.21,19,3906,3700,14
2021,05.22,15,3921,3711,14
2021,05.23,11,3932,3711,14
2021,05.24,0,3932,3711,14
2021,05.25,0,3932,3711,14
2021,05.26,16,3948,3749,14
2021,05.27,40,3988,3772,14
2021,05.28,22,4010,3811,14
2021,05.29,12,4022,3812,14
2021,05.30,39,4061,3812,14
2021,05.31,0,4061,3812,14
2021,06.01,33,4094,3853,14
2021,06.02,23,4117,3855,14
2021,06.03,28,4145,3855,14
2021,06.04,0,4145,3855,14
2021,06.05,282,4427,3894,14
2021,06.06,0,4427,3894,14
2021,06.07,0,4427,3894,14
2021,06.08,72,4499,3987,14
2021,06.09,98,4597,4054,14
2021,06.10,93,4690,4206,14
2021,06.11,76,4766,4252,16
2021,06.12,82,4848,4278,16
2021,06.13,0,4848,4278,16
2021,06.14,0,4848,4278,16
2021,06.15,133,4981,4420,16
2021,06.16,31,5012,4486,17
2021,06.17,96,5108,4538,17
2021,06.18,86,5194,4654,19
2021,06.19,91,5285,4743,19
2021,06.20,51,5336,4782,19
2021,06.21,26,5362,4818,19
2021,06.22,59,5421,4897,19
2021,06.23,87,5508,5016,21
2021,06.24,95,5603,5078,21
2021,06.25,61,5664,5147,21
2021,06.26,56,5720,5222,21
2021,06.27,60,5780,5261,21
2021,06.28,0,5780,5261,21
2021,06.29,104,5884,5370,22
2021,06.30,52,5936,5435,23
2021,07.01,73,6009,5512,23
2021,07.02,19,6028,5559,25
2021,07.03,23,6051,5634,25
2021,07.04,23,6074,5676,25
2021,07.05,14,6088,5718,25
2021,07.06,39,6127,5808,25
2021,07.07,61,6188,5808,25
2021,07.08,36,6224,5808,27
2021,07.09,18,6242,5808,28
2021,07.10,17,6259,5826,29
2021,07.11,18,6277,5842,29
2021,07.12,7,6284,5842,29
2021,07.13,0,6284,5842,29
2021,07.14,43,6327,5906,30
2021,07.15,20,6347,5948,30
2021,07.16,35,6382,6020,30
2021,07.17,20,6402,6043,30
2021,07.18,0,6402,6043,30
2021,07.19,0,6402,6043,30
2021,07.20,48,6450,6158,32
2021,07.21,0,6450,6158,32
2021,07.22,23,6473,6166,32
