year,date,confirm_add,confirm,heal,dead
2020,03.06,1,1,0,0
2020,03.07,1,2,0,0
2020,03.08,0,2,0,0
2020,03.09,0,2,0,0
2020,03.10,0,2,0,0
2020,03.11,0,2,0,0
2020,03.12,0,2,0,0
2020,03.13,0,2,0,0
2020,03.14,1,3,0,0
2020,03.15,0,3,0,0
2020,03.16,1,5,0,0
2020,03.17,5,10,2,0
2020,03.18,0,10,2,0
2020,03.19,3,13,2,0
2020,03.20,8,21,2,0
2020,03.21,6,27,2,0
2020,03.22,13,40,2,0
2020,03.23,16,56,2,0
2020,03.24,10,66,2,0
2020,03.25,10,66,2,1
2020,03.26,9,75,3,1
2020,03.27,13,88,3,2
2020,03.28,6,94,3,2
2020,03.29,5,99,3,2
2020,03.30,43,142,5,6
2020,03.31,51,193,5,6
2020,04.01,40,233,10,6
2020,04.02,51,284,10,7
2020,04.03,22,306,10,7
2020,04.04,203,509,17,8
2020,04.05,46,555,17,9
2020,04.06,103,658,17,9
2020,04.07,0,658,17,9
2020,04.08,27,685,60,9
2020,04.09,45,730,60,10
2020,04.10,73,803,61,12
2020,04.11,17,820,98,12
2020,04.12,0,820,98,12
2020,04.13,0,820,98,12
2020,04.14,28,848,130,14
2020,04.15,0,848,165,17
2020,04.16,0,848,165,17
2020,04.17,148,996,164,22
2020,04.18,21,1017,177,22
2020,04.19,0,1017,305,42
2020,04.20,0,1017,305,42
2020,04.21,146,1163,329,43
2020,04.22,0,1163,331,43
2020,04.23,0,1163,397,43
2020,04.24,267,1430,668,43
2020,04.25,88,1518,697,53
2020,04.26,103,1621,786,56
2020,04.27,0,1621,786,56
2020,04.28,84,1705,805,58
2020,04.29,101,1806,915,59
2020,04.30,26,1832,934,61
2020,05.01,0,1832,934,61
2020,05.02,0,1832,934,61
2020,05.03,245,2077,953,64
2020,05.04,0,2077,953,64
2020,05.05,27,2104,953,64
2020,05.06,161,2265,1000,64
2020,05.07,2,2267,1002,108
2020,05.08,0,2267,1002,108
2020,05.09,7,2274,1232,108
2020,05.10,305,2579,1465,114
2020,05.11,0,2579,1465,114
2020,05.12,110,2689,1524,125
2020,05.13,0,2689,1524,125
2020,05.14,111,2800,1543,136
2020,05.15,154,2954,1553,139
2020,05.16,151,3105,1567,140
2020,05.17,0,3105,1567,140
2020,05.18,0,3105,1567,140
2020,05.19,424,3529,1567,140
2020,05.20,0,3529,1567,140
2020,05.21,204,3733,1595,146
2020,05.22,555,4288,1808,156
2020,05.23,112,4400,1822,159
2020,05.24,0,4400,1822,159
2020,05.25,490,4890,1865,165
2020,05.26,154,5044,1917,171
2020,05.27,392,5436,1996,175
2020,05.28,0,5436,1996,175
2020,05.29,0,5436,1996,175
2020,05.30,0,5436,3326,177
2020,05.31,468,5904,3568,191
2020,06.01,239,6143,3578,197
2020,06.02,254,6397,3629,199
2020,06.03,188,6585,3676,200
2020,06.04,204,6789,3705,203
2020,06.05,603,7392,4575,205
2020,06.06,207,7599,4587,212
2020,06.07,0,7599,4587,212
2020,06.08,461,8060,4748,212
2020,06.09,252,8312,4794,212
