year,date,confirm_add,confirm,heal,dead
2020,03.13,1,1,0,0
2020,03.14,0,1,0,0
2020,03.15,3,4,0,0
2020,03.16,1,5,0,0
2020,03.17,0,5,0,0
2020,03.18,1,6,0,0
2020,03.19,0,6,0,0
2020,03.20,3,9,0,0
2020,03.21,0,9,0,0
2020,03.22,2,11,4,0
2020,03.23,0,11,0,0
2020,03.24,1,12,4,0
2020,03.25,0,12,0,0
2020,03.26,0,12,0,0
2020,03.27,4,16,4,0
2020,03.28,0,16,1,0
2020,03.29,3,19,1,0
2020,03.30,7,23,2,0
2020,03.31,2,25,2,0
2020,04.01,4,29,2,0
2020,04.02,0,29,3,0
2020,04.03,6,35,3,0
2020,04.04,3,38,4,0
2020,04.05,5,43,4,1
2020,04.06,1,44,4,2
2020,04.07,8,52,4,2
2020,04.08,3,55,4,2
2020,04.09,1,56,4,2
2020,04.10,9,65,4,2
2020,04.11,4,69,10,3
2020,04.12,2,71,10,3
2020,04.13,3,74,14,3
2020,04.14,8,82,14,3
2020,04.15,3,85,15,3
2020,04.16,7,92,15,3
2020,04.17,4,96,15,3
2020,04.18,9,105,16,3
2020,04.19,3,108,16,3
2020,04.20,3,111,16,3
2020,04.21,3,114,16,3
2020,04.22,2,116,21,3
2020,04.23,0,116,21,3
2020,04.24,1,117,25,3
2020,04.25,5,122,29,3
2020,04.26,1,123,41,3
2020,04.27,1,124,50,3
2020,04.28,2,126,50,3
2020,04.29,4,130,58,3
2020,04.30,1,131,59,3
2020,05.01,2,133,66,3
2020,05.02,0,133,69,3
2020,05.03,0,133,69,3
2020,05.04,7,140,75,3
2020,05.05,5,145,91,4
2020,05.06,17,162,93,4
2020,05.07,25,187,93,4
2020,05.08,7,194,95,4
2020,05.09,16,210,97,5
2020,05.10,29,239,99,5
2020,05.11,11,250,105,5
2020,05.12,11,261,106,5
2020,05.13,2,263,108,5
2020,05.14,9,272,108,5
2020,05.15,15,287,112,5
2020,05.16,19,306,113,5
2020,05.17,11,317,113,5
2020,05.18,35,352,116,5
2020,05.19,13,365,120,5
2020,05.20,24,389,122,5
2020,05.21,9,398,123,5
2020,05.22,31,429,128,5
2020,05.23,65,494,151,5
2020,05.24,88,582,152,5
2020,05.25,73,655,159,5
2020,05.26,46,701,167,6
2020,05.27,30,731,181,6
2020,05.28,100,831,191,7
2020,05.29,137,968,197,8
2020,05.30,95,1063,208,8
2020,05.31,109,1172,209,11
2020,06.01,85,1257,217,12
2020,06.02,87,1344,231,14
2020,06.03,0,1344,231,14
2020,06.04,292,1636,250,18
2020,06.05,169,1805,262,19
2020,06.06,129,1934,281,20
2020,06.07,86,2020,344,27
2020,06.08,136,2156,361,27
2020,06.09,180,2336,379,32
2020,06.10,0,2336,379,32
2020,06.11,334,2670,434,40
2020,06.12,245,2915,451,47
2020,06.13,251,3166,495,55
2020,06.14,179,3345,545,57
2020,06.15,176,3521,620,60
2020,06.16,109,3630,738,61
2020,06.17,129,3759,849,63
2020,06.18,195,3954,934,65
2020,06.19,116,4070,1027,72
2020,06.20,399,4469,1029,72
2020,06.21,63,4532,1213,74
2020,06.22,131,4663,1297,75
2020,06.23,185,4848,1412,75
2020,06.24,186,5034,1486,78
2020,06.25,141,5175,1544,81
2020,06.26,250,5425,1688,89
2020,06.27,0,5425,1688,89
2020,06.28,264,5689,2132,98
2020,06.29,157,5846,2430,103
2020,06.30,0,5846,2430,103
2020,07.01,0,5846,2430,103
2020,07.02,0,5846,2430,103
2020,07.03,0,5846,2430,103
2020,07.04,0,5846,2430,103
2020,07.05,0,5846,2430,103
2020,07.06,0,5846,2430,103
2020,07.07,0,5846,2430,103
2020,07.08,0,5846,2430,103
2020,07.09,928,6774,2430,120
2020,07.10,199,6973,2430,120
2020,07.11,147,7120,2430,124
2020,07.12,282,7402,2430,124
2020,07.13,364,7766,2430,128
2020,07.14,0,7766,2430,128
2020,07.15,203,7969,2430,139
2020,07.16,212,8181,2430,146
2020,07.17,294,8475,2430,148
2020,07.18,328,8803,2430,150
2020,07.19,344,9147,2430,163
2020,07.20,356,9503,2430,167
2020,07.21,704,10207,2430,170
2020,07.22,865,11072,5448,180
2020,07.23,452,11524,5506,188
2020,07.24,409,11933,5645,197
2020,07.25,1315,13248,5966,209
2020,07.26,0,13248,5966,209
2020,07.27,720,13968,6216,223
2020,07.28,579,14547,6386,228
2020,07.29,653,15200,6526,239
2020,07.30,610,15810,6685,253
2020,07.31,805,16615,6763,263
2020,08.01,915,17530,6950,274
2020,08.02,469,17999,7195,284
2020,08.03,707,18706,7601,310
2020,08.04,583,19289,7931,336
2020,08.05,1047,20336,8598,356
2020,08.06,0,20336,8598,356
2020,08.07,564,20900,9027,365
2020,08.08,552,21452,9415,380
2020,08.09,801,22253,9707,390
2020,08.10,565,22818,10206,407
2020,08.11,773,23591,10411,420
2020,08.12,584,24175,10696,440
2020,08.13,943,25118,11034,463
2020,08.14,1086,26204,11428,479
2020,08.15,1038,27242,11660,492
2020,08.16,1652,28894,12037,509
2020,08.17,982,29876,12359,528
2020,08.18,1460,31336,12524,544
2020,08.19,1386,32722,12938,572
2020,08.20,1336,34058,13308,600
2020,08.21,1778,35836,13536,620
2020,08.22,1829,37665,13913,637
2020,08.23,1368,39033,14480,662
2020,08.24,1638,40671,14995,678
2020,08.25,1472,42143,15262,692
2020,08.26,1545,43688,15796,709
2020,08.27,1533,45221,16311,725
2020,08.28,1186,46407,16829,745
2020,08.29,1733,48140,17415,758
2020,08.30,1514,49654,18116,770
2020,08.31,1468,51122,18382,793
2020,09.01,1009,52131,18994,809
2020,09.02,1173,53304,19487,828
2020,09.03,1105,54409,19903,846
2020,09.04,804,55213,20283,856
2020,09.05,1303,56516,20612,880
2020,09.06,950,57466,20776,897
2020,09.07,1206,58672,21307,918
2020,09.08,976,59648,21789,933
2020,09.09,1136,60784,22677,949
2020,09.10,916,61700,23054,966
2020,09.11,878,62578,23640,974
2020,09.12,789,63367,24024,986
2020,09.13,521,63888,24493,996
2020,09.14,413,64301,24983,1013
2020,09.15,485,64786,25333,1022
2020,09.16,700,65486,25988,1035
2020,09.17,738,66224,26665,1045
2020,09.18,689,66913,27085,1060
2020,09.19,602,67515,27638,1072
2020,09.20,616,68131,27939,1089
2020,09.21,689,68820,28314,1096
2020,09.22,889,69709,28634,1108
2020,09.23,713,70422,28991,1127
2020,09.24,661,71083,29253,1141
2020,09.25,604,71687,29461,1148
2020,09.26,486,72173,29863,1155
2020,09.27,527,72700,30029,1165
2020,09.28,632,73332,30363,1170
2020,09.29,612,73944,30753,1177
2020,09.30,640,74584,30952,1191
2020,10.01,784,75368,31204,1198
2020,10.02,730,76098,31430,1205
2020,10.03,890,76988,31677,1208
2020,10.04,872,77860,32325,1214
2020,10.05,959,78819,33060,1222
2020,10.06,618,79437,34016,1230
2020,10.07,566,80003,34960,1238
2020,10.08,892,80895,35670,1255
2020,10.09,902,81797,36434,1262
2020,10.10,865,82662,37102,1271
2020,10.11,767,83429,37683,1277
2020,10.12,866,84295,38316,1287
2020,10.13,841,85136,38904,1301
2020,10.14,582,85718,39307,1305
2020,10.15,712,86430,40165,1312
2020,10.16,739,87169,40988,1325
2020,10.17,665,87834,41628,1337
2020,10.18,600,88434,42099,1346
2020,10.19,703,89137,42649,1352
2020,10.20,723,89860,43149,1365
2020,10.21,630,90490,43638,1371
2020,10.22,628,91118,44506,1384
2020,10.23,575,91693,45260,1396
2020,10.24,536,92229,46118,1400
2020,10.25,629,92858,46842,1419
2020,10.26,485,93343,47543,1426
2020,10.27,364,93707,48150,1437
2020,10.28,511,94218,48968,1445
2020,10.29,602,94820,49886,1451
2020,10.30,481,95301,50753,1457
2020,10.31,488,95789,51713,1464
2020,11.01,380,96169,52517,1469
2020,11.02,414,96583,53452,1478
2020,11.03,359,96942,54405,1489
2020,11.04,560,97502,55254,1494
2020,11.05,379,97881,56156,1503
2020,11.06,510,98391,57114,1508
2020,11.07,355,98746,58103,1512
2020,11.08,455,99201,58948,1518
2020,11.09,474,99675,59766,1523
2020,11.10,307,99982,60710,1530
2020,11.11,345,100327,61516,1537
2020,11.12,400,100727,62497,1545
2020,11.13,521,101248,63268,1554
2020,11.14,509,101757,63571,1558
2020,11.15,564,102321,63675,1565
2020,11.16,399,102720,63866,1569
2020,11.17,336,103056,64130,1581
2020,11.18,339,103395,64293,1588
2020,11.19,533,103928,64593,1601
2020,11.20,499,104427,64983,1607
2020,11.21,452,104879,65325,1620
2020,11.22,473,105352,65534,1636
2020,11.23,433,105785,65691,1647
2020,11.24,418,106203,65839,1651
2020,11.25,388,106591,66018,1661
2020,11.26,518,107109,66574,1664
2020,11.27,560,107669,67001,1672
2020,11.28,769,108438,67506,1686
2020,11.29,492,108930,68250,1695
2020,11.30,604,109534,69315,1700
2020,12.01,540,110074,73808,1706
2020,12.02,480,110554,74917,1709
2020,12.03,430,110984,76067,1715
2020,12.04,595,111579,77385,1724
2020,12.05,512,112091,78619,1734
2020,12.06,649,112740,79579,1745
2020,12.07,555,113295,80831,1747
2020,12.08,440,113735,82803,1755
2020,12.09,531,114266,84948,1766
2020,12.10,568,114834,87244,1769
2020,12.11,526,115360,88975,1779
2020,12.12,422,115782,91209,1791
2020,12.13,515,116297,92449,1803
2020,12.14,472,116769,93890,1806
2020,12.15,473,117242,95225,1809
2020,12.16,300,117542,96307,1813
2020,12.17,464,118006,97969,1818
2020,12.18,475,118481,99751,1831
2020,12.19,544,119025,100859,1843
2020,12.20,469,119494,102153,1846
2020,12.21,457,119951,102980,1853
2020,12.22,397,120348,103681,1861
2020,12.23,290,120638,104818,1864
2020,12.24,351,120989,105824,1870
2020,12.25,410,121399,106845,1882
2020,12.26,481,121880,107599,1897
2020,12.27,533,122413,108269,1901
