year,date,confirm_add,confirm,heal,dead
2020,02.25,2,2,0,0
2020,02.26,0,2,0,0
2020,02.27,1,3,0,0
2020,02.28,2,5,0,0
2020,03.01,5,10,0,0
2020,03.02,4,14,0,0
2020,03.03,2,16,0,0
2020,03.04,8,24,0,0
2020,03.05,0,24,0,0
2020,03.06,17,41,0,0
2020,03.07,14,55,0,0
2020,03.08,25,104,0,0
2020,03.09,0,104,0,0
2020,03.10,53,157,2,0
2020,03.11,25,182,4,0
2020,03.12,120,302,4,1
2020,03.13,59,361,4,1
2020,03.14,143,504,6,1
2020,03.15,151,655,6,1
2020,03.16,205,860,6,2
2020,03.17,156,1016,6,3
2020,03.18,316,1332,9,3
2020,03.19,314,1646,9,4
2020,03.20,550,2196,9,6
2020,03.21,499,2695,9,7
2020,03.22,499,2695,9,7
2020,03.23,932,3627,9,16
2020,03.24,859,4486,9,25
2020,03.25,390,4876,9,30
2020,03.26,1125,6001,9,42
2020,03.27,846,6847,9,49
2020,03.28,850,7697,225,58
2020,03.29,574,8271,225,68
2020,03.30,1106,9377,636,108
2020,03.31,661,10038,1095,128
2020,04.01,463,10501,1436,146
2020,04.02,495,10996,1749,158
2020,04.03,416,11412,2022,168
2020,04.04,369,11781,2507,186
2020,04.05,139,11920,2998,204
2020,04.06,286,12206,3463,220
2020,04.07,341,12547,4046,243
2020,04.08,334,12881,4512,273
2020,04.09,282,13163,5240,295
2020,04.10,331,13494,6064,319
2020,04.11,288,13782,6604,337
2020,04.12,163,13945,6987,350
2020,04.13,73,14018,7343,368
2020,04.14,141,14159,7633,384
2020,04.15,166,14325,8098,393
2020,04.16,126,14451,8986,393
2020,04.17,126,14476,8986,410
2020,04.18,195,14671,10214,443
2020,04.19,28,14699,10501,443
2020,04.20,96,14795,10631,470
2020,04.21,78,14873,10971,491
2020,04.22,52,14925,11328,510
2020,04.23,77,15002,11694,522
2020,04.24,69,15071,11872,530
2020,04.25,77,15148,12103,536
2020,04.26,77,15225,12282,542
2020,04.27,49,15274,12362,549
2020,04.28,83,15357,12580,569
2020,04.29,45,15402,12779,580
2020,04.30,50,15452,12907,584
2020,05.01,109,15561,13110,589
2020,05.02,-3,15558,13180,596
2020,05.03,0,15558,13180,596
2020,05.04,63,15621,13316,600
2020,05.05,29,15650,13462,606
2020,05.06,34,15684,13639,608
2020,05.07,68,15752,13698,609
2020,05.08,22,15774,13836,614
2020,05.09,59,15833,13928,615
2020,05.10,38,15871,13991,618
2020,05.11,11,15882,14061,620
2020,05.12,79,15961,14148,623
2020,05.13,36,15997,14304,624
2020,05.14,61,16058,14405,626
2020,05.15,51,16109,14471,628
2020,05.16,92,16201,14524,629
2020,05.17,41,16242,14563,629
2020,05.18,27,16269,14614,629
2020,05.19,52,16321,14678,632
2020,05.20,32,16353,14882,633
2020,05.21,51,16404,14951,633
2020,05.22,32,16436,15005,635
2020,05.23,50,16486,15037,639
2020,05.24,17,16503,15063,640
2020,05.25,36,16539,15138,641
2020,05.26,18,16557,15182,643
2020,05.27,34,16591,15228,645
2020,05.28,37,16628,15286,668
2020,05.29,27,16655,15347,668
2020,05.30,30,16685,15520,668
2020,05.31,46,16731,15593,668
2020,06.01,2,16733,15596,668
2020,06.02,26,16759,15629,669
2020,06.03,0,16759,15629,669
2020,06.04,46,16805,15717,670
2020,06.05,38,16843,15742,672
2020,06.06,55,16898,15789,672
2020,06.07,0,16898,15789,672
2020,06.08,70,16968,15839,672
2020,06.09,11,16979,15875,672
2020,06.10,0,16979,15875,672
2020,06.11,55,17034,15949,674
2020,06.12,30,17064,15985,675
2020,06.13,14,17078,16012,677
2020,06.14,31,17109,16059,677
2020,06.15,26,17135,16066,678
2020,06.16,54,17189,16089,681
2020,06.17,14,17203,16099,687
2020,06.18,20,17223,16101,688
2020,06.19,48,17271,16141,688
2020,06.20,52,17323,16175,688
2020,06.21,18,17341,16197,690
2020,06.22,39,17380,16241,690
2020,06.23,28,17408,16261,693
2020,06.24,41,17449,16282,693
2020,06.25,28,17477,16320,698
2020,06.26,45,17522,16348,698
2020,06.27,58,17580,16371,700
2020,06.28,74,17654,16401,702
2020,06.29,69,17723,16420,703
2020,06.30,43,17766,16478,705
2020,07.01,107,17873,16491,705
2020,07.02,68,17941,16514,705
2020,07.03,109,18050,16558,705
2020,07.04,115,18165,16607,705
2020,07.05,115,18280,16615,706
2020,07.06,85,18365,16647,706
2020,07.07,56,18421,16686,706
2020,07.08,92,18513,16721,706
2020,07.09,102,18615,16758,706
2020,07.10,94,18709,16808,706
2020,07.11,74,18783,16864,706
2020,07.12,114,18897,16952,708
2020,07.13,51,18948,17000,708
2020,07.14,73,19021,17073,709
2020,07.15,133,19154,17175,710
2020,07.16,116,19270,17244,711
2020,07.17,169,19439,17335,711
2020,07.18,134,19573,17501,711
2020,07.19,82,19655,17599,711
2020,07.20,88,19743,17659,711
2020,07.21,84,19827,17716,710
2020,07.22,102,19929,17849,711
2020,07.23,170,20099,17943,711
2020,07.24,115,20214,18042,711
2020,07.25,124,20338,18124,712
2020,07.26,134,20472,18209,712
2020,07.27,86,20558,18246,713
2020,07.28,119,20677,18379,713
2020,07.29,173,20850,18528,716
2020,07.30,105,20955,18628,718
2020,07.31,175,21130,18758,718
2020,08.01,82,21212,18911,718
2020,08.02,92,21304,18984,718
2020,08.03,81,21385,19063,718
2020,08.04,96,21481,19336,719
2020,08.05,85,21566,19464,719
2020,08.06,130,21696,19596,719
2020,08.07,141,21837,19690,720
2020,08.08,82,21919,19812,721
2020,08.09,114,22033,19923,721
2020,08.10,73,22106,20010,723
2020,08.11,139,22245,20123,723
2020,08.12,194,22439,20268,724
2020,08.13,155,22594,20346,725
2020,08.14,282,22876,20499,725
2020,08.15,303,23179,20627,728
2020,08.16,191,23370,20681,728
2020,08.17,164,23534,20765,729
2020,08.18,295,23829,20870,729
2020,08.19,255,24084,20958,729
2020,08.20,347,24431,21093,729
2020,08.21,331,24762,21260,730
2020,08.22,300,25062,21406,732
2020,08.23,191,25253,21558,732
2020,08.24,242,25495,21657,733
2020,08.25,211,25706,21888,733
2020,08.26,327,26033,22145,733
2020,08.27,328,26361,22317,733
2020,08.28,229,26590,22594,733
2020,08.29,395,26985,22866,733
2020,08.30,181,27166,23070,733
2020,08.31,272,27438,23226,733
2020,09.01,204,27642,23565,734
2020,09.02,327,27969,23820,734
2020,09.03,403,28372,24171,735
2020,09.04,357,28729,24513,735
2020,09.05,358,29087,24828,735
2020,09.06,184,29271,25043,736
2020,09.07,290,29561,25300,746
2020,09.08,520,30081,25629,747
2020,09.09,502,30583,25764,747
2020,09.10,664,31247,26043,748
2020,09.11,580,31827,26257,750
2020,09.12,869,32696,26579,754
2020,09.13,463,33159,26760,756
2020,09.14,382,33541,27010,757
2020,09.15,764,34305,27354,757
2020,09.16,768,35073,27655,758
2020,09.17,780,35853,28044,758
2020,09.18,808,36661,28451,763
2020,09.19,813,37474,28961,765
2020,09.20,621,38095,29229,766
2020,09.21,563,38658,29516,767
2020,09.22,645,39303,30312,771
2020,09.23,681,39984,30949,777
2020,09.24,832,40816,31661,783
2020,09.25,684,41500,32301,786
2020,09.26,714,42214,33154,787
2020,09.27,662,42876,33589,787
2020,09.28,556,43432,34052,790
2020,09.29,609,44041,34916,796
2020,09.30,772,44813,35644,799
2020,10.01,873,45686,36476,802
2020,10.02,688,46374,37186,803
2020,10.03,1058,47432,38045,809
2020,10.04,714,48146,38629,813
2020,10.05,750,48896,39058,818
2020,10.06,923,49819,39790,822
2020,10.07,1029,50848,40499,830
2020,10.08,1209,52057,41289,838
2020,10.09,1131,53188,42039,842
2020,10.10,1235,54423,42829,852
2020,10.11,896,55319,43448,851
2020,10.12,979,56298,44065,855
2020,10.13,1028,57326,44949,861
2020,10.14,1346,58672,45846,872
2020,10.15,1552,60224,46798,877
2020,10.16,1163,61387,47618,882
2020,10.17,1747,63134,48771,889
2020,10.18,1672,64806,49561,893
2020,10.19,1121,65927,50359,904
2020,10.20,1524,67451,51407,914
2020,10.21,1958,69409,52617,925
2020,10.22,2435,71844,53970,941
2020,10.23,2571,74415,55195,954
2020,10.24,3614,78029,56791,965
2020,10.25,2782,80811,57858,979
2020,10.26,2456,83267,59036,992
2020,10.27,2835,86102,60308,1005
2020,10.28,3394,89496,61684,1027
2020,10.29,4453,93949,63366,1056
2020,10.30,5627,99576,64987,1082
2020,10.31,5349,104925,67226,1109
2020,11.01,4956,109881,69336,1130
2020,11.02,4135,114016,71691,1159
2020,11.03,4182,118198,74292,1192
2020,11.04,6901,125099,77036,1227
2020,11.05,7416,132515,80604,1268
2020,11.06,6464,138979,83707,1340
2020,11.07,8241,147220,88273,1377
2020,11.08,5933,153153,91719,1411
2020,11.09,5593,158746,94627,1454
2020,11.10,0,158746,94627,1454
2020,11.11,6120,164866,98663,1499
2020,11.12,16776,181642,107875,1608
2020,11.13,9586,191228,112728,1661
2020,11.14,0,191228,112728,1661
2020,11.15,12728,203956,125674,1829
2020,11.16,4657,208613,129671,1887
2020,11.17,5984,214597,136487,1945
2020,11.18,7091,221688,142738,2054
2020,11.19,6995,228683,149541,2116
2020,11.20,6668,235351,156483,2224
2020,11.21,6611,241962,162751,2328
2020,11.22,5226,247188,169260,2388
2020,11.23,3145,250333,175527,2459
2020,11.24,4377,254710,182620,2577
2020,11.25,5802,260512,189059,2667
2020,11.26,0,260512,189059,2667
2020,11.27,10480,270992,203251,2886
2020,11.28,4669,275661,210697,3018
2020,11.29,4047,279708,216998,3105
2020,11.30,2748,282456,221692,3184
2020,12.01,0,282456,221692,3184
2020,12.02,7005,289461,233657,3446
2020,12.03,3969,293430,238127,3538
2020,12.04,3815,297245,243775,3651
2020,12.05,3444,300689,249441,3757
2020,12.06,2741,303430,252765,3840
2020,12.07,2263,305693,256811,3897
2020,12.08,2377,308070,262314,4002
2020,12.09,2932,311002,265815,4056
2020,12.10,2686,313688,269665,4163
2020,12.11,2893,316581,273503,4289
2020,12.12,3241,319822,277883,4415
2020,12.13,2641,322463,281106,4473
2020,12.14,2588,325051,284174,4530
2020,12.15,2628,327679,287750,4648
2020,12.16,2664,330343,291042,4764
2020,12.17,2485,332828,294315,4982
2020,12.18,2085,334913,297424,5127
2020,12.19,2296,337209,300611,5209
2020,12.20,1645,338854,303213,5351
2020,12.21,1519,340373,305658,5435
2020,12.22,1853,342226,309595,5540
2020,12.23,2131,344357,312921,5654
2020,12.24,2847,347204,315952,5745
2020,12.25,1851,349055,318154,5783
2020,12.26,1429,350484,320753,5843
2020,12.27,1408,351892,323002,5881
2020,12.28,1592,353484,326768,5931
2020,12.29,1868,355352,328974,6059
2020,12.30,2550,357902,330990,6149
2020,12.31,2913,360815,332952,6222
2021,01.01,2096,362911,334901,6261
2021,01.02,1391,364302,336922,6275
2021,01.03,1466,365768,338831,6324
2021,01.04,1642,367410,340273,6357
2021,01.05,2311,369721,343039,6457
2021,01.06,2469,372190,344974,6525
2021,01.07,2540,374730,346901,6568
2021,01.08,2063,376793,349215,6641
2021,01.09,2278,379071,351382,6687
2021,01.10,1651,380722,353749,6723
2021,01.11,1536,382258,355530,6747
2021,01.12,1575,383833,357562,6819
2021,01.13,1917,385750,359692,6868
2021,01.14,3510,389260,362931,6921
2021,01.15,1528,390788,365214,6987
2021,01.16,1723,392511,367785,7053
2021,01.17,1267,393778,369218,7082
2021,01.18,1161,394939,370865,7122
2021,01.19,1486,396425,373090,7199
2021,01.20,1671,398096,374824,7237
2021,01.21,1702,399798,376360,7288
2021,01.22,2088,401886,378408,7330
2021,01.23,1626,403512,380248,7389
2021,01.24,1202,404714,381654,7418
2021,01.25,1009,405723,383200,7451
2021,01.26,1417,407140,384926,7515
2021,01.27,1641,408781,386351,7564
2021,01.28,1449,410230,387787,7607
2021,01.29,1500,411730,389476,7658
2021,01.30,1478,413208,391076,7703
2021,01.31,1190,414398,392497,7721
2021,02.01,1124,415522,393747,7778
2021,02.02,1241,416763,395316,7847
2021,02.03,1520,418283,396709,7902
2021,02.04,1518,419801,397910,7936
2021,02.05,1388,421189,399329,7973
2021,02.06,0,421189,399329,7973
2021,02.07,2650,423839,402053,8012
2021,02.08,1057,424896,403302,8032
2021,02.09,1197,426093,404676,8071
2021,02.10,1469,427562,405921,8114
2021,02.11,1577,429139,407155,8138
2021,02.12,1731,430870,408426,8170
2021,02.13,1433,432303,409877,8195
2021,02.14,1184,433487,411199,8211
2021,02.15,1225,434712,412457,8221
2021,02.16,1427,436139,413908,8260
2021,02.17,1735,437874,415221,8290
2021,02.18,1967,439841,416431,8312
2021,02.19,1818,441659,417654,8348
2021,02.20,1877,443536,419283,8368
2021,02.21,1838,445374,420509,8386
2021,02.22,1270,446644,421811,8397
2021,02.23,1727,448371,423014,8434
2021,02.24,2005,450376,424348,8470
2021,02.25,2391,452767,425786,8493
2021,02.26,2093,454860,427257,8515
2021,02.27,2457,457317,428904,8538
2021,02.28,2123,459440,430415,8561
2021,03.01,1409,460849,432016,8574
2021,03.02,1920,462769,433873,8605
2021,03.03,2553,465322,435669,8625
2021,03.04,2324,467646,437202,8652
2021,03.05,2668,470314,439101,8669
2021,03.06,2557,472871,441309,8694
2021,03.07,2199,475070,443152,8713
2021,03.08,1910,476980,445032,8732
2021,03.09,2411,479391,447041,8757
2021,03.10,2528,481919,449053,8776
2021,03.11,2997,484916,450862,8798
2021,03.12,3126,488042,453078,8831
2021,03.13,3023,491065,455271,8856
2021,03.14,2503,493568,457266,8873
2021,03.15,1896,495464,459288,8892
2021,03.16,2425,497889,461659,8925
2021,03.17,3335,501224,463714,8956
2021,03.18,3357,504581,465984,8982
2021,03.19,3515,508096,468275,9024
2021,03.20,3344,511440,470684,9052
2021,03.21,2713,514153,473357,9074
2021,03.22,2412,516565,475227,9089
2021,03.23,3415,519980,477940,9121
2021,03.24,3289,523269,480597,9151
2021,03.25,3124,526393,483460,9178
2021,03.26,3895,530288,486088,9200
2021,03.27,3498,533786,488964,9231
2021,03.28,2679,536465,491619,9256
2021,03.29,3076,539541,494377,9275
2021,03.30,3001,542542,497816,9308
2021,03.31,3687,546229,501116,9339
2021,04.01,3363,549592,503729,9368
2021,04.02,3137,552729,506675,9397
2021,04.03,3283,556012,509550,9434
2021,04.04,2743,558755,512642,9449
2021,04.05,0,558755,512642,9449
2021,04.06,4152,562907,519202,9517
2021,04.07,3101,566008,522774,9546
2021,04.08,2906,568914,525682,9586
2021,04.09,2702,571616,529191,9624
2021,04.10,0,571616,529191,9624
2021,04.11,5391,577007,535798,9687
2021,04.12,1943,578950,538609,9706
2021,04.13,2313,581263,541786,9748
2021,04.14,2942,584205,544989,9779
2021,04.15,2678,586883,547604,9813
2021,04.16,2416,589299,550470,9843
2021,04.17,2048,591347,552619,9870
2021,04.18,2076,593423,555218,9898
2021,04.19,2117,595540,557467,9922
2021,04.20,2026,597566,560492,9959
2021,04.21,2523,600089,563256,9997
2021,04.22,2405,602494,565513,10026
2021,04.23,2329,604823,568213,10055
2021,04.24,2131,606954,570684,10070
2021,04.25,2025,608979,573155,10087
2021,04.26,1566,610545,575217,10098
2021,04.27,1625,612170,577977,10126
2021,04.28,2340,614510,580330,10152
2021,04.29,2229,616739,582575,10179
2021,04.30,2131,618870,584777,10205
2021,05.01,1615,620485,587115,10233
2021,05.02,1625,622110,589534,10245
2021,05.03,1091,623201,591525,10260
2021,05.04,1394,624595,593684,10291
2021,05.05,1644,626239,595877,10311
2021,05.06,1245,627484,597922,10333
2021,05.07,1333,628817,599854,10351
2021,05.08,1233,630050,601958,10374
2021,05.09,1026,631076,603901,10382
2021,05.10,820,631896,605441,10392
2021,05.11,870,632766,607712,10413
2021,05.12,1194,633960,609666,10428
2021,05.13,933,634893,611254,10444
2021,05.14,887,635780,612523,10455
2021,05.15,644,636424,614803,10470
2021,05.16,673,637097,616148,10474
2021,05.17,476,637573,617307,10480
2021,05.18,582,638155,618798,10499
2021,05.19,899,639054,618798,10508
2021,05.20,562,639616,619756,10527
2021,05.21,677,640293,620837,10534
2021,05.22,583,640876,621998,10541
2021,05.23,504,641380,622889,10546
2021,05.24,360,641740,623668,10547
2021,05.25,398,642138,624549,10551
2021,05.26,445,642583,625453,10566
2021,05.27,585,643168,626259,10573
2021,05.28,541,643709,626815,10588
2021,05.29,498,644207,627672,10592
2021,05.30,379,644586,628312,10596
2021,05.31,229,644815,628856,10603
2021,06.01,337,645152,629713,10615
2021,06.02,400,645552,630274,10621
2021,06.03,282,645834,630731,10627
2021,06.04,333,646167,631138,10631
2021,06.05,271,646438,630458,10636
2021,06.06,362,646800,630942,10639
2021,06.07,279,647079,631294,10640
2021,06.08,243,647322,631869,10647
2021,06.09,366,647688,632188,10650
2021,06.10,283,647971,632660,10650
2021,06.11,216,648187,633105,10652
2021,06.12,200,648387,633538,10652
2021,06.13,233,648620,633939,10661
2021,06.14,112,648732,634123,10662
2021,06.15,117,648849,634439,10668
2021,06.16,153,649002,634900,10671
2021,06.17,179,649181,635192,10674
2021,06.18,128,649309,635544,10677
2021,06.19,136,649445,635886,10679
2021,06.20,131,649576,636125,10680
2021,06.21,94,649670,636365,10680
2021,06.22,58,649728,636523,10684
2021,06.23,117,649845,636740,10686
2021,06.24,77,649922,636923,10697
2021,06.25,94,650016,637051,10700
2021,06.26,176,650192,637238,10699
2021,06.27,69,650261,637424,10700
2021,06.28,63,650324,637545,10701
2021,06.29,29,650353,637613,10700
2021,06.30,59,650412,637751,10702
2021,07.01,62,650474,637909,10706
2021,07.02,95,650569,638032,10709
2021,07.03,93,650662,638167,10709
2021,07.04,75,650737,638319,10709
2021,07.05,80,650817,638378,10713
2021,07.06,84,650901,638456,10718
2021,07.07,107,651008,638566,10719
2021,07.08,120,651128,638618,10721
2021,07.09,163,651291,638719,10722
2021,07.10,162,651453,638814,10723
2021,07.11,159,651612,638889,10723
2021,07.12,0,651612,638889,10723
2021,07.13,410,652022,639035,10724
2021,07.14,332,652354,639154,10726
2021,07.15,306,652660,639239,10727
2021,07.16,341,653001,639352,10728
2021,07.17,411,653412,639422,10728
2021,07.18,323,653735,639573,10729
2021,07.19,263,653998,639700,10729
2021,07.20,316,654314,639831,10729
2021,07.21,431,654745,640018,10729
2021,07.22,452,655197,640202,10730
2021,07.23,392,655589,640430,10730
2021,07.24,0,655589,640430,10730
2021,07.25,681,656270,640951,10731
2021,07.26,312,656582,641222,10732
2021,07.27,367,656949,641541,10737
2021,07.28,552,657501,641880,10737
2021,07.29,503,658004,642229,10737
2021,07.30,514,658518,642597,10737
2021,07.31,538,659056,643027,10737
2021,08.01,452,659508,643387,10738
2021,08.02,364,659872,643694,10739
2021,08.03,390,660262,644038,10742
2021,08.04,592,660854,644388,10744
2021,08.05,505,661359,644840,10745
2021,08.06,0,661359,644840,10745
2021,08.07,563,661922,644840,10748
2021,08.08,607,662529,644840,10750
2021,08.09,1003,663532,644840,10750
2021,08.10,601,664133,644840,10751
2021,08.11,902,665035,644840,10752
2021,08.12,850,665885,644840,10753
2021,08.13,1005,666890,644840,10753
2021,08.14,951,667841,644840,10754
2021,08.15,891,668732,644840,10756
2021,08.16,774,669506,644840,10757
2021,08.17,866,670372,644840,10757
2021,08.18,1221,671593,644840,10757
2021,08.19,1226,672819,644840,10760
2021,08.20,1258,674077,644840,10761
2021,08.21,1328,675405,644840,10761
2021,08.22,1121,676526,644840,10762
2021,08.23,1077,677603,644840,10763
2021,08.24,1002,678605,644840,10768
2021,08.25,1574,680179,644840,10770
2021,08.26,1438,681617,644840,10772
2021,08.27,1602,683219,644840,10776
2021,08.28,1322,684541,644840,10777
