year,date,confirm_add,confirm,heal,dead
2020,01.28,0,1,0,0
2020,01.29,3,4,0,0
2020,01.30,0,4,0,0
2020,01.31,2,6,0,0
2020,02.01,1,7,0,0
2020,02.02,3,10,0,0
2020,02.03,0,10,0,0
2020,02.04,2,12,0,0
2020,02.05,0,12,0,0
2020,02.06,0,12,0,0
2020,02.07,1,13,0,0
2020,02.08,0,13,0,0
2020,02.09,1,14,0,0
2020,02.10,0,14,0,0
2020,02.11,0,14,0,0
2020,02.12,2,16,0,0
2020,02.13,0,16,0,0
2020,02.14,0,16,1,0
2020,02.15,0,16,1,0
2020,02.16,0,16,1,0
2020,02.17,0,16,1,0
2020,02.18,0,16,7,0
2020,02.19,0,16,7,0
2020,02.20,0,16,7,0
2020,02.21,0,16,7,0
2020,02.22,0,16,7,0
2020,02.23,0,16,7,0
2020,02.24,0,16,14,0
2020,02.25,0,16,14,0
2020,02.26,3,19,14,0
2020,02.27,8,27,14,0
2020,02.28,33,60,14,0
2020,02.29,6,66,16,0
2020,03.01,51,117,16,0
2020,03.02,40,157,16,0
2020,03.03,79,196,16,0
2020,03.04,44,240,16,0
2020,03.05,109,349,16,0
2020,03.06,216,565,16,0
2020,03.07,88,684,16,0
2020,03.08,163,847,18,0
2020,03.09,304,1151,18,0
2020,03.10,73,1224,18,2
2020,03.11,341,1565,18,3
2020,03.12,513,2078,25,3
2020,03.13,1039,3117,46,7
2020,03.14,558,3675,46,8
2020,03.15,1467,5142,46,9
2020,03.16,2138,5813,46,13
2020,03.17,1174,7272,135,17
2020,03.18,2810,10082,135,26
2020,03.19,3862,13944,135,43
2020,03.20,3709,17653,115,44
2020,03.21,2446,20099,180,70
2020,03.22,3822,23921,266,92
2020,03.23,3259,27181,422,113
2020,03.24,4189,31370,453,132
2020,03.25,3983,35353,3243,181
2020,03.26,4219,39572,3547,224
2020,03.27,3639,43211,5678,262
2020,03.28,10129,53340,6658,399
2020,03.29,4907,58247,8481,455
2020,03.30,5682,63929,9211,560
2020,03.31,4251,68180,15824,682
2020,04.01,6328,74508,16100,821
2020,04.02,7220,81728,19175,997
2020,04.03,5516,87244,24575,1138
2020,04.04,4806,92050,24575,1295
2020,04.05,5024,97074,26400,1478
2020,04.06,3112,100186,28700,1590
2020,04.07,4013,104199,36081,1842
2020,04.08,5130,109329,36081,2096
2020,04.09,4286,113615,46300,2349
2020,04.10,5786,119401,52407,2607
2020,04.11,3454,122855,53913,2736
2020,04.12,2979,125834,57400,2886
2020,04.13,2082,127916,64300,3022
2020,04.14,2518,130434,68200,3220
2020,04.15,2119,132553,72600,3528
2020,04.16,2996,135549,77000,3850
2020,04.17,2907,138456,81800,4193
2020,04.18,3869,142325,85400,4403
2020,04.19,2023,144348,88000,4547
2020,04.20,1395,145743,91500,4642
2020,04.21,1850,147593,95200,4869
2020,04.22,1451,149044,99400,5127
2020,04.23,2131,151175,103300,5354
2020,04.24,2409,153584,106800,5577
2020,04.25,1834,155418,109800,5802
2020,04.26,1608,157026,109800,5880
2020,04.27,920,157946,114500,5984
2020,04.28,1092,159038,117400,6161
2020,04.29,1441,160479,120400,6330
2020,04.30,1506,161985,123500,6504
2020,05.01,1024,163009,126900,6623
2020,05.02,1307,164316,129000,6736
2020,05.03,651,164967,129000,6812
2020,05.04,778,165745,132700,6866
2020,05.05,559,166304,135100,6993
2020,05.06,1068,167372,137400,6993
2020,05.07,1283,168655,139900,7322
2020,05.08,775,169430,141700,7392
2020,05.09,1446,170876,143300,7510
2020,05.10,663,171539,144400,7549
2020,05.11,460,171999,145600,7569
2020,05.12,813,172812,147200,7667
2020,05.13,734,173546,148700,7780
2020,05.14,552,174098,150300,7861
2020,05.15,380,174478,151547,7884
2020,05.16,1237,175715,151953,7931
2020,05.17,654,176369,154011,7958
2020,05.18,182,176551,155041,7988
2020,05.19,738,177289,155681,8067
2020,05.20,861,178150,156966,8136
2020,05.21,598,178748,158057,8195
2020,05.22,402,179150,159025,8219
2020,05.23,637,179787,159681,8256
2020,05.24,285,180072,160263,8283
2020,05.25,348,180420,161163,8300
2020,05.26,382,180802,161599,8329
2020,05.27,722,181524,162800,8416
2020,05.28,394,181918,163222,8463
2020,05.29,641,182559,164213,8497
2020,05.30,566,183125,164887,8527
2020,05.31,245,183370,165331,8539
2020,06.01,138,183508,165592,8546
2020,06.02,371,183879,166563,8563
2020,06.03,0,183879,166609,8563
2020,06.04,593,184472,167871,8627
2020,06.05,452,184924,168445,8645
2020,06.06,492,185416,168944,8668
2020,06.07,329,185745,169204,8685
2020,06.08,364,186109,169511,8690
2020,06.09,200,186309,170091,8729
2020,06.10,213,186522,170529,8748
2020,06.11,40,186562,170900,8771
2020,06.12,371,186933,171535,8780
2020,06.13,334,187267,171924,8793
2020,06.14,251,187518,171995,8801
2020,06.15,164,187682,172692,8804
2020,06.16,538,188220,172802,8816
2020,06.17,254,188474,173536,8844
2020,06.18,1038,189512,173813,8869
2020,06.19,762,190274,173905,8884
2020,06.20,396,190670,174579,8895
2020,06.21,602,191272,174727,8895
2020,06.22,496,191768,175096,8897
2020,06.23,669,192437,175742,8914
2020,06.24,434,192871,176350,8926
2020,06.25,500,193371,176692,8937
2020,06.26,545,193916,177076,8962
2020,06.27,542,194458,177434,8968
2020,06.28,235,194693,177636,8968
2020,06.29,217,194910,177755,8975
2020,06.30,481,195391,177787,8982
2020,07.01,387,195778,178275,8995
2020,07.02,592,196370,179800,9004
2020,07.03,389,196759,180300,9012
2020,07.04,439,197198,182392,9019
2020,07.05,201,197399,181959,9023
2020,07.06,553,197952,182090,9024
2020,07.07,282,198234,182609,9031
2020,07.08,270,198504,183099,9045
2020,07.09,497,199001,183610,9056
2020,07.10,287,199288,183966,9063
2020,07.11,304,199592,184237,9069
2020,07.12,304,199896,184386,9071
2020,07.13,179,200075,185100,9072
2020,07.14,381,200456,185100,9077
2020,07.15,290,200746,185409,9079
2020,07.16,542,201288,186400,9086
2020,07.17,657,201945,186900,9089
2020,07.18,481,202426,187200,9090
2020,07.19,173,202599,187400,9091
2020,07.20,354,202953,187615,9094
2020,07.21,612,203565,188183,9098
2020,07.22,522,204087,188581,9102
2020,07.23,493,204580,189110,9109
2020,07.24,820,205400,189661,9117
2020,07.25,657,206057,189908,9124
2020,07.26,282,206339,190030,9124
2020,07.27,563,206902,190270,9125
2020,07.28,572,207474,190648,9128
2020,07.29,686,208160,191241,9133
2020,07.30,1068,209228,191512,9140
2020,07.31,895,210123,191918,9147
2020,08.01,574,210697,192596,9154
2020,08.02,405,211102,192873,9154
2020,08.03,603,211705,193527,9154
2020,08.04,834,212539,194043,9162
2020,08.05,897,213436,194456,9173
2020,08.06,1060,214496,195148,9180
2020,08.07,1371,215867,195741,9189
2020,08.08,626,216493,196520,9201
2020,08.09,432,216925,196710,9202
2020,08.10,412,217337,197311,9203
2020,08.11,1395,218732,198260,9207
2020,08.12,1031,219763,198879,9213
2020,08.13,1895,221658,199550,9217
2020,08.14,1805,223463,200372,9230
2020,08.15,532,223995,200704,9235
2020,08.16,621,224616,201139,9235
2020,08.17,1270,225886,202155,9236
2020,08.18,1461,227347,203600,9240
2020,08.19,1196,228543,204409,9249
2020,08.20,2015,230558,205322,9258
2020,08.21,1535,232093,206607,9266
2020,08.22,1260,233353,207568,9272
2020,08.23,801,234154,207888,9275
2020,08.24,1218,235372,208605,9276
2020,08.25,1580,236952,210308,9282
2020,08.26,1510,238462,211646,9284
2020,08.27,1175,239637,212859,9289
2020,08.28,1847,241484,214155,9291
2020,08.29,867,242351,214749,9297
2020,08.30,632,242983,215247,9300
2020,08.31,1185,244168,216739,9303
2020,09.01,1214,245382,218306,9306
2020,09.02,1332,246714,219904,9320
2020,09.03,1269,247983,221491,9326
2020,09.04,1610,249593,222802,9327
2020,09.05,1253,250846,223534,9329
2020,09.06,415,251261,224128,9330
2020,09.07,1549,252810,225655,9330
2020,09.08,1751,254561,227307,9336
2020,09.09,1411,255972,228720,9342
2020,09.10,1800,257772,230226,9345
2020,09.11,1837,259609,231349,9348
2020,09.12,1208,260817,231909,9352
2020,09.13,729,261546,232487,9354
2020,09.14,1012,262558,233942,9356
2020,09.15,1817,264375,235034,9366
2020,09.16,2161,266536,236615,9372
2020,09.17,1847,268383,238371,9375
2020,09.18,2256,270639,239647,9386
2020,09.19,2140,272779,240456,9388
2020,09.20,1186,273965,241125,9390
2020,09.21,989,274954,242340,9390
2020,09.22,2041,276995,243844,9401
2020,09.23,1718,278713,245697,9422
2020,09.24,312,279025,245706,9423
2020,09.25,3298,282323,249145,9448
2020,09.26,1934,284257,250074,9457
2020,09.27,1795,286052,250858,9464
2020,09.28,1432,287484,252663,9467
2020,09.29,1912,289396,255097,9478
2020,09.30,2065,291461,256835,9494
2020,10.01,2886,294347,258209,9507
2020,10.02,3074,297421,259711,9517
2020,10.03,1247,298668,260893,9531
2020,10.04,1809,300477,261977,9533
2020,10.05,2508,302985,263814,9543
2020,10.06,3315,306300,265798,9550
2020,10.07,2828,309128,267819,9567
2020,10.08,3828,312956,269972,9584
2020,10.09,5286,318242,272165,9598
2020,10.10,3249,321491,273718,9609
2020,10.11,3349,324840,274948,9620
2020,10.12,3433,328273,277039,9627
2020,10.13,5076,333349,279625,9651
2020,10.14,5564,338913,282131,9685
2020,10.15,5604,344517,284863,9725
2020,10.16,9303,353820,287911,9740
2020,10.17,5982,359802,290326,9776
2020,10.18,4862,364664,292215,9786
2020,10.19,4684,369348,295162,9803
2020,10.20,7720,377068,298697,9844
2020,10.21,11157,388225,301000,9883
2020,10.22,12609,400834,304958,9921
2020,10.23,13865,414699,308961,9967
2020,10.24,11411,426110,313451,10011
2020,10.25,8688,434798,315831,10040
2020,10.26,8391,443189,320305,10063
2020,10.27,13137,456326,326169,10112
2020,10.28,15217,471543,332378,10194
2020,10.29,17274,488817,336688,10288
2020,10.30,22779,511596,346059,10369
2020,10.31,16320,527916,351659,10469
2020,11.01,12310,540226,356410,10507
2020,11.02,11834,552060,363578,10542
2020,11.03,17538,569598,372038,10687
2020,11.04,18746,588344,383249,10848
2020,11.05,21325,609669,387999,10969
2020,11.06,23640,633309,396801,11127
2020,11.07,20683,653992,407393,11252
2020,11.08,14122,668114,415759,11321
2020,11.09,14510,682624,424450,11385
2020,11.10,6522,689146,443621,11408
2020,11.11,16494,705640,445260,11603
2020,11.12,33700,739340,465705,12021
2020,11.13,27115,766455,475598,12228
2020,11.14,18638,785093,491608,12426
2020,11.15,14640,799733,500631,12515
2020,11.16,11491,811224,509125,12581
2020,11.17,12976,824200,525363,12852
2020,11.18,21406,845606,542035,13162
2020,11.19,23060,868666,558818,13418
2020,11.20,24174,892840,575866,13682
2020,11.21,21278,914118,592422,13959
2020,11.22,13872,927990,604540,14079
2020,11.23,11437,939427,616349,14192
2020,11.24,14848,954275,636690,14537
2020,11.25,20818,975093,656368,14907
2020,11.26,20786,995879,672002,15269
2020,11.27,21951,1017830,691208,15664
2020,11.28,20819,1038649,709511,16039
2020,11.29,13845,1052494,722072,16198
2020,11.30,10524,1063018,735576,16344
2020,12.01,13618,1076636,756034,16785
2020,12.02,20182,1096818,777178,17312
2020,12.03,21336,1118154,796018,17734
2020,12.04,27491,1145645,819735,18135
2020,12.05,14208,1159853,836708,18619
2020,12.06,23787,1183640,852628,18856
2020,12.07,10910,1194550,868310,19002
2020,12.08,14931,1209481,891357,19576
2020,12.09,19788,1229269,909058,20105
2020,12.10,29000,1258269,929354,20558
2020,12.11,28823,1287092,951923,21195
2020,12.12,27217,1314309,966238,21620
2020,12.13,21792,1336101,976469,21921
2020,12.14,14709,1350810,995404,22170
2020,12.15,16146,1366956,1012986,22978
2020,12.16,24679,1391635,1032024,23648
2020,12.17,36548,1428183,1059359,24503
2020,12.18,32889,1461072,1081077,25235
2020,12.19,26716,1487788,1096021,25833
2020,12.20,22834,1510622,1107115,26213
2020,12.21,16416,1527038,1124028,26474
2020,12.22,19330,1546368,1150322,27299
2020,12.23,26978,1573346,1174177,28324
2020,12.24,31011,1604357,1197530,28960
2020,12.25,26239,1630596,1221208,29389
2020,12.26,11417,1642013,1235968,29601
2020,12.27,14586,1656599,1255361,30005
2020,12.28,9447,1666046,1272604,30333
2020,12.29,16982,1683028,1297932,31408
2020,12.30,25600,1708628,1323359,32520
2020,12.31,32525,1741153,1345992,33310
2021,01.01,19420,1760573,1359224,33835
2021,01.02,10224,1770797,1389144,34238
2021,01.03,10303,1781100,1401320,34546
2021,01.04,9272,1790372,1422187,34816
2021,01.05,16025,1806397,1449989,35972
2021,01.06,22986,1829383,1472311,36869
2021,01.07,24715,1854098,1496183,37909
2021,01.08,32463,1886561,1517419,39141
2021,01.09,21688,1908249,1534535,40170
2021,01.10,20213,1928462,1547237,40651
2021,01.11,7608,1936070,1566927,40971
2021,01.12,13969,1950039,1590192,41917
2021,01.13,22539,1972578,1616784,42977
2021,01.14,22961,1995539,1643124,44438
2021,01.15,20606,2016145,1661442,45306
2021,01.16,17447,2033592,1677220,46285
2021,01.17,13693,2047285,1693226,46755
2021,01.18,7854,2055139,1709555,47009
2021,01.19,8893,2064032,1732079,47958
2021,01.20,19567,2083599,1757713,49184
2021,01.21,17835,2101434,1778319,50102
2021,01.22,15676,2117110,1797648,50919
