year,date,confirm_add,confirm,heal,dead
2020,03.02,0,3,0,0
2020,03.03,2,5,0,0
2020,03.04,0,5,0,0
2020,03.05,3,8,0,0
2020,03.06,4,12,0,0
2020,03.07,6,18,0,0
2020,03.08,3,21,0,0
2020,03.09,11,32,0,0
2020,03.10,8,40,0,0
2020,03.11,23,61,0,0
2020,03.12,33,94,0,0
2020,03.13,22,116,0,0
2020,03.14,25,141,0,0
2020,03.15,48,189,0,0
2020,03.16,104,293,0,0
2020,03.17,51,344,3,0
2020,03.18,0,344,3,0
2020,03.19,222,572,3,0
2020,03.20,202,774,3,0
2020,03.21,138,833,4,0
2020,03.22,214,1047,6,0
2020,03.23,170,1165,7,1
2020,03.24,116,1236,7,1
2020,03.25,261,1497,10,5
2020,03.26,157,1654,10,10
2020,03.27,408,2062,10,10
2020,03.28,360,2422,11,10
2020,03.29,247,2669,11,13
2020,03.30,148,2817,11,16
2020,03.31,185,3002,25,25
2020,04.01,328,3330,45,32
2020,04.02,274,3604,61,40
2020,04.03,265,3869,71,46
2020,04.04,325,4194,74,56
2020,04.05,281,4475,78,62
2020,04.06,116,4591,96,72
2020,04.07,237,4828,127,80
2020,04.08,205,5033,181,91
2020,04.09,302,5335,243,104
2020,04.10,254,5589,309,113
2020,04.11,146,5735,370,123
2020,04.12,170,5905,422,132
2020,04.13,86,5991,467,139
2020,04.14,68,6059,527,147
2020,04.15,92,6151,676,163
2020,04.16,152,6303,831,166
2020,04.17,134,6437,979,170
2020,04.18,116,6553,1183,176
2020,04.19,104,6657,1235,181
2020,04.20,130,6787,1311,188
2020,04.21,127,6914,1597,196
2020,04.22,127,7041,1800,204
2020,04.23,95,7136,2002,210
2020,04.24,52,7188,2186,213
2020,04.25,85,7273,2389,215
2020,04.26,79,7352,2471,219
2020,04.27,56,7408,2600,221
2020,04.28,41,7449,2842,223
2020,04.29,55,7504,2960,227
2020,04.30,77,7581,3120,227
2020,05.01,108,7689,3314,237
2020,05.02,51,7740,3378,241
2020,05.03,10,7750,3446,245
2020,05.04,31,7781,3592,249
2020,05.05,60,7841,3816,252
2020,05.06,58,7899,4017,258
2020,05.07,80,7979,4214,263
2020,05.08,55,8034,4372,270
2020,05.09,44,8078,4414,273
2020,05.10,17,8095,4448,276
2020,05.11,28,8123,4482,280
2020,05.12,54,8177,4738,283
2020,05.13,46,8223,4899,284
2020,05.14,52,8275,5058,290
2020,05.15,77,8352,5249,293
2020,05.16,54,8406,5381,295
2020,05.17,51,8457,5422,297
2020,05.18,23,8480,5468,298
2020,05.19,124,8604,5687,301
2020,05.20,79,8683,5731,303
2020,05.21,38,8721,5830,304
2020,05.22,36,8757,5932,306
2020,05.23,63,8820,6026,312
2020,05.24,71,8891,6047,315
2020,05.25,66,8957,6083,315
2020,05.26,47,9004,6182,317
2020,05.27,48,9052,6279,317
2020,05.28,51,9103,6377,317
2020,05.29,40,9143,6464,319
2020,05.30,57,9200,6502,319
2020,05.31,33,9233,6546,319
2020,06.01,40,9273,6562,320
2020,06.02,35,9308,6642,321
2020,06.03,56,9364,6686,323
2020,06.04,77,9441,6752,324
2020,06.05,53,9494,6809,326
2020,06.06,36,9530,6881,327
2020,06.07,44,9574,6885,327
2020,06.08,55,9629,6896,328
2020,06.09,70,9699,7009,328
2020,06.10,64,9763,7057,330
2020,06.11,63,9826,7124,328
2020,06.12,61,9887,7170,329
2020,06.13,55,9942,7215,329
2020,06.14,49,9991,7219,328
2020,06.15,36,10027,7245,330
2020,06.16,39,10066,7300,330
2020,06.17,46,10112,7360,332
2020,06.18,64,10176,7401,333
2020,06.19,107,10283,7446,334
2020,06.20,123,10406,7473,335
2020,06.21,42,10448,7477,336
2020,06.22,50,10498,7505,336
2020,06.23,63,10561,7543,337
2020,06.24,90,10651,7559,340
2020,06.25,129,10780,7592,344
2020,06.26,90,10870,7649,345
2020,06.27,174,11044,7669,349
2020,06.28,262,11306,7682,347
