year,date,confirm_add,confirm,heal,dead
2020,02.04,0,1,0,0
2020,02.05,0,1,0,0
2020,02.06,0,1,0,0
2020,02.07,0,1,0,0
2020,02.08,0,1,0,0
2020,02.09,0,1,0,0
2020,02.10,0,1,0,0
2020,02.11,0,1,0,0
2020,02.12,0,1,0,0
2020,02.13,0,1,0,0
2020,02.14,0,1,0,0
2020,02.15,0,1,0,0
2020,02.16,0,1,0,0
2020,02.17,0,1,0,0
2020,02.18,0,1,1,0
2020,02.19,0,1,1,0
2020,02.20,0,1,1,0
2020,02.21,0,1,1,0
2020,02.22,0,1,1,0
2020,02.23,0,1,1,0
2020,02.24,0,1,1,0
2020,02.25,0,1,1,0
2020,02.26,0,1,1,0
2020,02.27,0,1,1,0
2020,02.28,0,1,1,0
2020,03.01,1,2,1,0
2020,03.02,6,8,1,0
2020,03.03,5,13,1,0
2020,03.04,10,23,1,0
2020,03.05,27,50,1,0
2020,03.06,59,109,1,0
2020,03.07,60,169,1,0
2020,03.08,31,200,1,0
2020,03.09,39,239,1,0
2020,03.10,28,267,1,0
2020,03.11,75,314,1,1
2020,03.12,85,399,1,3
2020,03.13,157,556,1,3
2020,03.14,133,689,1,4
2020,03.15,197,886,1,4
2020,03.16,199,1085,1,4
2020,03.17,243,1486,1,14
2020,03.18,401,1486,1,14
2020,03.19,309,1795,1,21
2020,03.20,771,2257,1,37
2020,03.21,558,2815,1,67
2020,03.22,586,3401,1,75
2020,03.23,342,3743,350,88
2020,03.24,526,4269,350,122
2020,03.25,668,4937,350,122
2020,03.26,1298,6235,350,220
2020,03.27,1049,7284,675,289
2020,03.28,1850,9134,675,353
2020,03.29,1702,10836,1063,431
2020,03.30,1063,11899,1527,513
2020,03.31,876,12775,1696,705
2020,04.01,1189,13964,2132,828
2020,04.02,1384,15348,2495,1011
2020,04.03,1422,16770,2872,1143
2020,04.04,1661,18431,3247,1283
2020,04.05,1260,19691,3751,1447
2020,04.06,1123,20814,3986,1632
2020,04.07,1380,22194,4157,2035
2020,04.08,1209,23403,4681,2240
2020,04.09,1580,24983,5164,2523
2020,04.10,1684,26667,5568,3019
2020,04.11,1351,28018,5986,3346
2020,04.12,1629,29647,6463,3600
2020,04.13,942,30589,6707,3903
2020,04.14,530,31119,6868,4157
2020,04.15,2454,33573,7107,4440
2020,04.16,1236,34809,7562,4857
2020,04.17,1329,36138,7961,5163
2020,04.18,1045,37183,8348,5453
2020,04.19,1313,38496,8757,5683
2020,04.20,1487,39983,8895,5828
2020,04.21,973,40956,9002,5998
2020,04.22,933,41889,9433,6262
2020,04.23,908,42797,9800,6490
2020,04.24,1496,44293,10122,6679
2020,04.25,1032,45325,10417,6917
2020,04.26,809,46134,10785,7094
2020,04.27,553,46687,10878,7207
2020,04.28,647,47334,10943,7331
2020,04.29,525,47859,11283,7501
2020,04.30,660,48519,11576,7594
2020,05.01,513,49032,11892,7703
2020,05.02,485,49517,12211,7765
2020,05.03,0,49517,12211,7765
2020,05.04,750,50267,12378,7924
2020,05.05,242,50509,12441,8016
2020,05.06,272,50781,12731,8339
2020,05.07,639,51420,12980,8415
2020,05.08,591,52011,13201,8521
2020,05.09,585,52596,13411,8581
2020,05.10,485,53081,13642,8656
2020,05.11,368,53449,13697,8707
2020,05.12,330,53779,13732,8761
2020,05.13,202,53981,13937,8843
2020,05.14,307,54288,14111,8903
2020,05.15,356,54644,14301,8959
2020,05.16,345,54989,14460,9005
2020,05.17,291,55280,14630,9052
2020,05.18,279,55559,14657,9080
2020,05.19,232,55791,14687,9108
2020,05.20,192,55983,14847,9150
2020,05.21,252,56235,14988,9186
2020,05.22,276,56511,15123,9212
2020,05.23,299,56810,15155,9237
2020,05.24,282,57092,15272,9280
2020,05.25,250,57342,15297,9312
2020,05.26,113,57455,15320,9334
2020,05.27,137,57592,15465,9364
2020,05.28,257,57849,15572,9388
2020,05.29,212,58061,15682,9430
2020,05.30,125,58186,15769,9453
2020,05.31,195,58381,15887,9467
2020,06.01,136,58517,15919,9486
2020,06.02,98,58615,15934,9505
2020,06.03,0,58615,15934,9505
2020,06.04,152,58767,16048,9548
2020,06.05,140,58907,16112,9566
2020,06.06,165,59072,16190,9580
2020,06.07,154,59226,16291,9595
2020,06.08,122,59348,16315,9606
2020,06.09,89,59437,16324,9619
2020,06.10,132,59569,16392,9629
2020,06.11,142,59711,16453,9636
2020,06.12,108,59819,16498,9646
2020,06.13,99,59918,16547,9650
2020,06.14,111,60029,16589,9655
2020,06.15,71,60100,16610,9661
2020,06.16,55,60155,16625,9663
2020,06.17,89,60244,16684,9675
2020,06.18,104,60348,16724,9683
2020,06.19,128,60476,16751,9695
2020,06.20,74,60550,16771,9696
2020,06.21,0,60550,16771,9696
2020,06.22,0,60550,16771,9696
2020,06.23,260,60810,16771,9713
2020,06.24,88,60898,16771,9722
2020,06.25,109,61007,16890,9726
2020,06.26,99,61106,16918,9731
2020,06.27,103,61209,16941,9732
2020,06.28,86,61295,16941,9732
2020,06.29,66,61361,16941,9732
2020,06.30,66,61427,16984,9747
2020,07.01,82,61509,17021,9754
2020,07.02,89,61598,17044,9761
2020,07.03,129,61727,17073,9765
2020,07.04,111,61838,17091,9771
2020,07.05,0,61838,17091,9771
2020,07.06,178,62016,17091,9771
2020,07.07,42,62058,17122,9774
2020,07.08,65,62123,17138,9776
2020,07.09,87,62210,17159,9778
2020,07.10,147,62357,17179,9781
2020,07.11,112,62469,17196,9782
2020,07.12,137,62606,17196,9782
2020,07.13,101,62707,17196,9782
2020,07.14,74,62781,17223,9787
2020,07.15,91,62872,17242,9788
2020,07.16,167,63039,17253,9792
2020,07.17,199,63238,17269,9795
2020,07.18,261,63499,17289,9800
2020,07.19,207,63706,17289,9800
2020,07.20,187,63893,17289,9800
2020,07.21,201,64094,17321,9805
2020,07.22,164,64258,17330,9805
2020,07.23,369,64627,17347,9808
2020,07.24,220,64847,17369,9812
2020,07.25,352,65199,17394,9817
2020,07.26,528,65727,17425,9821
2020,07.27,299,66026,17439,9821
2020,07.28,402,66428,17452,9822
2020,07.29,234,66662,17476,9833
2020,07.30,673,67335,17492,9836
2020,07.31,671,68006,17513,9840
2020,08.01,745,68751,17546,9841
2020,08.02,651,69402,17573,9845
2020,08.03,447,69849,17590,9845
2020,08.04,465,70314,17598,9850
2020,08.05,334,70648,17639,9852
2020,08.06,510,71158,17661,9859
2020,08.07,858,72016,17700,9861
2020,08.08,768,72784,17728,9866
2020,08.09,617,73401,17766,9870
2020,08.10,751,74152,17780,9872
2020,08.11,468,74620,17792,9879
2020,08.12,388,75008,17841,9885
2020,08.13,639,75647,17883,9900
2020,08.14,544,76191,17913,9916
2020,08.15,922,77113,17941,9924
2020,08.16,756,77869,17981,9935
2020,08.17,454,78323,17994,9939
2020,08.18,211,78534,18003,9944
2020,08.19,363,78897,18048,9959
2020,08.20,582,79479,18078,9969
2020,08.21,699,80178,18131,9976
2020,08.22,716,80894,18165,9985
2020,08.23,574,81468,18204,9988
2020,08.24,468,81936,18225,9992
2020,08.25,156,82092,18242,9996
2020,08.26,355,82447,18291,9996
2020,08.27,583,83030,18331,9879
2020,08.28,470,83500,18360,9884
2020,08.29,452,83952,18360,9886
2020,08.30,647,84599,18403,9891
2020,08.31,443,85042,18415,9894
2020,09.01,194,85236,18422,9895
2020,09.02,251,85487,18457,9897
2020,09.03,424,85911,18490,9898
2020,09.04,633,86544,18513,9899
2020,09.05,630,87174,18534,9901
2020,09.06,651,87825,18555,9906
2020,09.07,542,88367,18565,9907
2020,09.08,402,88769,18576,9909
2020,09.09,372,89141,18602,9912
2020,09.10,550,89691,18635,9917
2020,09.11,877,90568,18659,9917
2020,09.12,969,91537,18689,9919
2020,09.13,941,92478,18709,9923
2020,09.14,977,93455,18723,9925
2020,09.15,851,94306,18737,9927
2020,09.16,489,94795,18789,9930
2020,09.17,1153,95948,18810,9935
2020,09.18,2028,97976,18854,9936
2020,09.19,1673,99649,18908,9937
2020,09.20,1099,100748,18945,9944
2020,09.21,1547,102295,18965,9948
2020,09.22,1097,103392,18977,9950
2020,09.23,1834,105226,19039,9955
2020,09.24,1661,106887,19079,9959
2020,09.25,1881,108768,19123,9965
2020,09.26,2208,110976,19184,9969
2020,09.27,1827,112803,19246,9974
2020,09.28,1376,114179,19275,9980
2020,09.29,1174,115353,19301,9987
2020,09.30,1762,117115,19386,10001
2020,10.01,1337,118452,19454,10016
2020,10.02,2607,121059,19521,10023
2020,10.03,3175,124234,19521,10037
2020,10.04,3389,127623,19645,10044
2020,10.05,2612,130235,19679,10064
2020,10.06,1968,132203,19712,10078
2020,10.07,2088,134291,19812,10092
2020,10.08,3577,137868,19895,10108
2020,10.09,5728,143596,19981,10126
2020,10.10,5385,148981,20072,10151
2020,10.11,7950,156931,20202,10175
2020,10.12,5327,162258,20272,10191
2020,10.13,3622,165880,20324,10211
2020,10.14,7360,173240,20452,10244
2020,10.15,8271,181511,20587,10278
2020,10.16,10448,191959,20720,10327
2020,10.17,10192,202151,20867,10359
2020,10.18,10964,213115,21074,10392
2020,10.19,9138,222253,21157,10413
2020,10.20,8227,230480,21214,10443
2020,10.21,9679,240159,21476,10489
2020,10.22,13227,253386,21717,10539
2020,10.23,16746,270132,22213,10588
2020,10.24,17568,287700,22517,10658
2020,10.25,17709,305409,22878,10737
2020,10.26,15622,321031,23087,10810
2020,10.27,12687,333718,23256,10899
2020,10.28,13571,347289,23504,11038
2020,10.29,21048,368337,23969,11170
2020,10.30,23921,392258,24443,11308
2020,10.31,20056,412314,24906,11452
2020,11.01,16915,429229,25569,11625
2020,11.02,11789,441018,25819,11737
2020,11.03,6337,447355,25999,11858
2020,11.04,5955,453310,26661,12126
2020,11.05,14903,468213,27334,12331
2020,11.06,11128,479341,27987,12520
2020,11.07,8703,488044,28613,12708
2020,11.08,6124,494168,29357,12907
2020,11.09,6621,500789,29651,13055
2020,11.10,2393,503182,29796,13216
2020,11.11,4293,507475,30504,13561
2020,11.12,7916,515391,31130,13758
2020,11.13,5002,520393,31130,13891
2020,11.14,4619,525012,31330,14106
2020,11.15,6268,531280,31330,14303
2020,11.16,4659,535939,31330,14421
2020,11.17,1932,537871,31330,14616
2020,11.18,2734,540605,33687,14839
2020,11.19,5182,545787,33687,15025
2020,11.20,4477,550264,33687,15196
2020,11.21,3416,553680,33687,15352
2020,11.22,3224,556904,33687,15522
2020,11.23,1875,558779,33687,15618
2020,11.24,1123,559902,33687,15755
2020,11.25,1901,561803,33687,15938
2020,11.26,3164,564967,33687,16077
2020,11.27,2565,567532,33687,16219
2020,11.28,3297,570829,33687,16339
2020,11.29,3619,574448,33687,16461
2020,11.30,2151,576599,33687,16547
2020,12.01,746,577345,33687,16645
2020,12.02,1867,579212,33687,16786
2020,12.03,3040,582252,33687,16911
2020,12.04,2605,584857,33687,17033
2020,12.05,2582,587439,33687,17142
2020,12.06,2503,589942,33687,17254
2020,12.07,1814,591756,33687,17320
2020,12.08,859,592615,33687,17386
2020,12.09,1957,594572,33687,17507
2020,12.10,3071,597643,33687,17603
2020,12.11,2754,600397,33687,17692
2020,12.12,2762,603159,33687,17792
2020,12.13,2807,605966,33687,17902
2020,12.14,2171,608137,33687,17951
2020,12.15,1074,609211,33687,18054
2020,12.16,2211,611422,33687,18178
2020,12.17,3636,615058,33687,18278
2020,12.18,3146,618204,33687,18371
2020,12.19,2835,621039,33687,18455
2020,12.20,2721,623760,33687,18545
2020,12.21,2170,625930,33687,18626
2020,12.22,981,626911,33687,18697
2020,12.23,2198,629109,33687,18821
2020,12.24,3212,632321,33687,18939
2020,12.25,2583,634904,33687,19038
2020,12.26,2342,637246,0,19089
2020,12.27,784,638030,0,19158
2020,12.28,847,638877,0,19200
2020,12.29,857,639734,0,19234
