year,date,confirm_add,confirm,heal,dead
2020,01.28,0,3,0,0
2020,01.29,1,4,0,0
2020,01.30,2,6,0,0
2020,01.31,0,6,0,0
2020,02.01,0,6,0,0
2020,02.02,0,6,0,0
2020,02.03,0,6,0,0
2020,02.04,0,6,0,0
2020,02.05,0,6,0,0
2020,02.06,0,6,0,0
2020,02.07,0,6,0,0
2020,02.08,5,11,0,0
2020,02.09,0,11,0,0
2020,02.10,0,11,0,0
2020,02.11,0,11,0,0
2020,02.12,0,11,0,0
2020,02.13,0,11,0,0
2020,02.14,0,11,0,0
2020,02.15,0,11,1,1
2020,02.16,1,12,4,1
2020,02.17,0,12,4,1
2020,02.18,0,12,4,1
2020,02.19,0,12,4,1
2020,02.20,0,12,4,1
2020,02.21,0,12,4,1
2020,02.22,0,12,4,1
2020,02.23,0,12,4,1
2020,02.24,0,12,4,1
2020,02.25,0,12,11,1
2020,02.26,5,17,11,2
2020,02.27,1,18,11,2
2020,02.28,23,41,12,2
2020,02.29,16,73,12,2
2020,03.01,27,100,12,2
2020,03.02,30,130,12,2
2020,03.03,74,204,12,3
2020,03.04,55,257,12,4
2020,03.05,120,377,12,6
2020,03.06,46,423,12,9
2020,03.07,293,716,12,11
2020,03.08,233,949,12,16
2020,03.09,260,1209,12,21
2020,03.10,465,1606,20,30
2020,03.11,282,1888,21,33
2020,03.12,497,2370,26,48
2020,03.13,519,2889,28,61
2020,03.14,778,3667,28,79
2020,03.15,839,4500,28,91
2020,03.16,900,5400,28,127
2020,03.17,1233,6633,28,148
2020,03.18,1097,7730,602,175
2020,03.19,1404,9134,602,264
2020,03.20,1861,10995,1300,372
2020,03.21,1617,12612,1587,450
2020,03.22,1847,14459,1587,562
2020,03.23,2221,16680,2200,674
2020,03.24,3176,19856,2200,860
2020,03.25,2444,22300,3281,1100
2020,03.26,2933,25233,3900,1331
2020,03.27,3922,29155,3900,1696
2020,03.28,4259,33414,5700,1995
2020,03.29,4691,38105,5724,2317
2020,03.30,2646,40751,7238,2612
2020,03.31,4481,45232,7991,3032
2020,04.01,7604,52836,9522,3532
2020,04.02,4971,57807,11055,4043
2020,04.03,2122,59929,12548,5398
2020,04.04,23102,83031,14138,6521
2020,04.05,7832,90863,15574,7574
2020,04.06,2917,93780,16354,8093
2020,04.07,5204,98984,17429,8926
2020,04.08,11086,110070,19523,10343
2020,04.09,2880,112950,21254,10869
2020,04.10,5840,118790,23469,12228
2020,04.11,7141,125931,25195,13215
2020,04.12,4799,130730,26674,13851
2020,04.13,2955,133685,27469,14412
2020,04.14,4202,137887,28011,14986
2020,04.15,5416,143303,29123,15729
2020,04.16,4560,147863,31470,17188
2020,04.17,106,147969,33398,17942
2020,04.18,1177,149146,35018,18703
2020,04.19,3832,152978,36588,19349
2020,04.20,1120,154098,37188,19744
2020,04.21,2397,156495,38046,20294
2020,04.22,2820,159315,39850,20829
2020,04.23,-2180,157135,41331,21373
2020,04.24,2360,159495,42792,21889
2020,04.25,457,159952,44271,22279
2020,04.26,1713,161665,45372,22648
2020,04.27,555,162220,45683,22890
2020,04.28,3816,166036,46394,23327
2020,04.29,3017,169053,47775,23694
2020,04.30,-2425,166628,49132,24121
2020,05.01,673,167301,50381,24410
2020,05.02,4,167305,50212,24597
2020,05.03,1212,168517,50663,24763
2020,05.04,408,168925,50885,24900
2020,05.05,658,169583,51476,25204
2020,05.06,1111,170694,52859,25538
2020,05.07,3530,174224,54081,25812
2020,05.08,694,174918,55191,25990
2020,05.09,1284,176202,55892,26233
2020,05.10,580,176782,56148,26313
2020,05.11,312,177094,56328,26383
2020,05.12,453,177547,56835,26646
2020,05.13,802,178349,57898,26994
2020,05.14,-165,178184,58786,27077
2020,05.15,810,178994,59719,27428
2020,05.16,636,179630,60562,27532
2020,05.17,0,179630,60562,27532
2020,05.18,63,179693,61327,28111
2020,05.19,358,180051,61843,28242
2020,05.20,883,180934,62681,28025
2020,05.21,766,181700,63472,28135
2020,05.22,251,181951,63976,28218
2020,05.23,67,182018,63986,28218
2020,05.24,18,182036,63988,28218
2020,05.25,673,182709,64735,28370
2020,05.26,358,183067,65317,28460
2020,05.27,-220,182847,65997,28533
2020,05.28,191,183038,66702,28599
2020,05.29,3326,186364,67309,28665
2020,05.30,560,186924,67921,28717
2020,05.31,1828,188752,68386,28774
2020,06.01,258,189010,68473,28805
2020,06.02,338,189348,68558,28836
2020,06.03,-898,188450,68930,28943
2020,06.04,352,188802,69573,29024
2020,06.05,767,189569,70094,29068
2020,06.06,611,190180,70622,29114
2020,06.07,579,190759,70924,29145
2020,06.08,343,191102,70961,29158
2020,06.09,211,191313,71182,29212
2020,06.10,210,191523,71626,29299
2020,06.11,545,192068,71952,29322
2020,06.12,425,192493,72269,29349
2020,06.13,727,193220,72695,29377
2020,06.14,526,193746,72931,29401
2020,06.15,407,194153,72982,29410
2020,06.16,152,194305,73168,29439
2020,06.17,42,194347,73459,29550
2020,06.18,458,194805,73791,29578
2020,06.19,467,195272,74011,29606
2020,06.20,811,196083,74241,29620
2020,06.21,641,196724,74436,29636
2020,06.22,284,197008,74496,29643
2020,06.23,373,197381,74736,29666
2020,06.24,423,197804,74995,29723
2020,06.25,81,197885,75251,29734
2020,06.26,0,197885,75475,29755
2020,06.27,1588,199473,75773,29781
2020,06.28,0,199473,75773,29781
2020,06.29,3,199476,75774,29781
2020,06.30,2046,201522,76124,29816
2020,07.01,541,202063,76399,29846
2020,07.02,1577,203640,76927,29878
2020,07.03,0,203640,76927,29878
2020,07.04,582,204222,77185,29896
2020,07.05,0,204222,77185,29896
2020,07.06,0,204222,77185,29896
2020,07.07,1375,205597,77444,29923
2020,07.08,475,206072,77780,29936
2020,07.09,663,206735,78121,29968
2020,07.10,621,207356,78295,29982
2020,07.11,659,208015,78513,30007
2020,07.12,0,208015,78513,30007
2020,07.13,0,208015,78513,30007
2020,07.14,1625,209640,78722,30032
2020,07.15,1,209641,78722,30032
2020,07.16,927,210568,78945,30123
2020,07.17,534,211102,79161,30141
2020,07.18,841,211943,79371,30155
2020,07.19,0,211943,79371,30155
2020,07.20,0,211943,79371,30155
2020,07.21,2080,214023,79668,30180
2020,07.22,584,214607,79861,30168
2020,07.23,998,215605,80084,30175
2020,07.24,1062,216667,80600,30185
2020,07.25,1130,217797,80943,30195
2020,07.26,4,217801,80945,30195
2020,07.27,0,217801,80945,30195
2020,07.28,2551,220352,81212,30212
2020,07.29,725,221077,81441,30226
2020,07.30,1392,222469,81632,30241
2020,07.31,0,222469,81632,30241
2020,08.01,2728,225197,81764,30268
2020,08.02,1,225198,81764,30268
