year,date,confirm_add,confirm,heal,dead
2020,03.11,2,2,0,0
2020,03.12,0,2,0,0
2020,03.13,0,2,0,0
2020,03.14,0,2,0,0
2020,03.15,0,2,0,0
2020,03.16,0,2,0,0
2020,03.17,0,2,0,0
2020,03.18,6,8,0,0
2020,03.19,4,12,0,0
2020,03.20,12,24,0,0
2020,03.21,0,24,0,0
2020,03.22,2,26,0,0
2020,03.23,1,27,0,0
2020,03.24,6,30,0,0
2020,03.25,6,36,0,0
2020,03.26,22,52,0,0
2020,03.27,16,68,0,1
2020,03.28,27,95,3,1
2020,03.29,27,95,3,1
2020,03.30,44,139,3,1
2020,03.31,2,141,3,7
2020,04.01,31,172,3,10
2020,04.02,47,219,3,14
2020,04.03,3,222,3,15
2020,04.04,42,264,3,15
2020,04.05,4,268,6,22
2020,04.06,30,298,6,22
2020,04.07,7,305,6,22
2020,04.08,7,312,6,22
2020,04.09,31,343,6,23
2020,04.10,39,382,7,23
2020,04.11,10,392,7,24
2020,04.12,1,393,7,25
2020,04.13,4,397,7,25
2020,04.14,10,407,7,26
2020,04.15,12,419,9,31
2020,04.16,7,426,9,35
2020,04.17,16,442,10,41
2020,04.18,15,457,10,46
2020,04.19,15,472,15,46
2020,04.20,5,477,25,46
2020,04.21,17,494,29,46
2020,04.22,16,510,30,46
2020,04.23,9,519,31,47
2020,04.24,43,562,50,47
2020,04.25,29,591,58,55
2020,04.26,36,627,65,59
2020,04.27,34,661,79,61
2020,04.28,41,702,79,64
2020,04.29,36,738,73,66
2020,04.30,33,771,79,71
2020,05.01,33,804,112,75
2020,05.02,95,899,112,75
2020,05.03,0,899,112,75
2020,05.04,156,1055,118,82
2020,05.05,123,1178,122,83
2020,05.06,92,1270,122,93
2020,05.07,191,1461,132,99
2020,05.08,224,1685,154,105
2020,05.09,86,1771,192,107
2020,05.10,59,1830,195,108
2020,05.11,142,1972,203,108
2020,05.12,128,2100,206,116
2020,05.13,-20,2080,211,121
2020,05.14,175,2255,237,123
2020,05.15,63,2318,253,133
2020,05.16,142,2460,264,134
2020,05.17,105,2565,278,138
2020,05.18,81,2646,319,142
2020,05.19,152,2798,340,146
2020,05.20,157,2955,349,147
2020,05.21,145,3100,355,151
2020,05.22,104,3204,397,156
2020,05.23,273,3477,439,167
2020,05.24,266,3743,455,174
2020,05.25,207,3950,468,180
2020,05.26,239,4189,473,182
2020,05.27,212,4401,493,188
2020,05.28,239,4640,506,194
2020,05.29,112,4752,519,196
2020,05.30,134,4886,528,199
2020,05.31,208,5094,536,201
2020,06.01,108,5202,537,212
2020,06.02,160,5362,549,217
2020,06.03,0,5362,549,217
2020,06.04,328,5690,617,234
2020,06.05,190,5880,648,243
2020,06.06,91,5971,677,248
2020,06.07,184,6155,697,250
2020,06.08,172,6327,712,258
2020,06.09,123,6450,740,262
2020,06.10,485,6935,787,271
2020,06.11,425,7360,809,290
2020,06.12,309,7669,837,294
2020,06.13,463,8132,844,306
2020,06.14,323,8455,894,310
2020,06.15,403,8858,967,312
2020,06.16,320,9178,1025,322
2020,06.17,478,9656,1075,330
2020,06.18,643,10299,1116,336
2020,06.19,440,10739,1179,343
2020,06.20,519,11258,1214,349
2020,06.21,1048,12306,1275,358
2020,06.22,463,12769,1293,363
2020,06.23,587,13356,1362,395
2020,06.24,587,13943,1461,405
2020,06.25,628,14571,1546,417
2020,06.26,795,15366,1600,426
2020,06.27,628,15994,1678,471
2020,06.28,1013,17007,1767,479
2020,06.29,1075,18082,1875,479
2020,06.30,736,18818,1961,485
2020,07.01,740,19558,2060,497
2020,07.02,704,20262,2123,542
2020,07.03,858,21120,2190,591
2020,07.04,996,22116,2250,605
2020,07.05,805,22921,2387,629
2020,07.06,1022,23943,2490,639
2020,07.07,722,24665,2585,656
2020,07.08,763,25428,2637,677
2020,07.09,550,25978,2721,694
2020,07.10,406,26384,2779,704
2020,07.11,669,27053,2850,750
2020,07.12,530,27583,2901,771
2020,07.13,507,28090,2957,774
2020,07.14,489,28579,3123,789
2020,07.15,527,29106,3287,807
2020,07.16,930,30036,3379,825
2020,07.17,831,30867,3420,835
2020,07.18,878,31745,3565,857
2020,07.19,1048,32793,3661,891
2020,07.20,1042,33835,3801,900
2020,07.21,776,34611,3905,935
2020,07.22,734,35345,4144,988
2020,07.23,757,36102,4315,1006
2020,07.24,800,36902,4448,1011
2020,07.25,657,37559,4607,1061
2020,07.26,879,38438,4713,1098
2020,07.27,838,39276,4922,1116
2020,07.28,465,39741,5039,1166
2020,07.29,719,40460,5103,1214
2020,07.30,484,40944,5281,1259
2020,07.31,482,41426,5443,1312
2020,08.01,588,42014,5554,1337
2020,08.02,671,42685,5694,1368
2020,08.03,512,43197,5794,1377
2020,08.04,597,43794,5854,1384
2020,08.05,505,44299,5921,1400
2020,08.06,799,45098,6116,1423
2020,08.07,657,45755,6225,1446
2020,08.08,610,46365,6355,1465
2020,08.09,608,46973,6428,1476
2020,08.10,481,47454,6597,1495
2020,08.11,418,47872,6649,1506
2020,08.12,531,48403,6805,1515
2020,08.13,254,48657,6945,1533
2020,08.14,385,49042,7032,1542
2020,08.15,425,49467,7128,1548
2020,08.16,512,49979,7255,1567
2020,08.17,523,50502,7339,1575
2020,08.18,493,50995,7450,1583
2020,08.19,675,51670,7661,1593
2020,08.20,628,52298,7867,1608
2020,08.21,521,52819,8082,1619
2020,08.22,562,53381,8271,1632
2020,08.23,602,53983,8449,1643
2020,08.24,528,54511,8532,1654
2020,08.25,968,55479,8556,1683
2020,08.26,398,55877,9124,1703
2020,08.27,772,56649,9169,1747
2020,08.28,1020,57669,9586,1803
2020,08.29,1141,58810,10076,1827
2020,08.30,835,59645,10156,1842
2020,08.31,529,60174,10242,1858
2020,09.01,840,61014,10396,1873
2020,09.02,755,61769,10430,1888
2020,09.03,757,62526,11147,1924
2020,09.04,632,63158,11618,1954
2020,09.05,640,63798,12347,1984
2020,09.06,554,64352,13115,2006
2020,09.07,412,64764,13418,2007
2020,09.08,50,64814,13828,2023
2020,09.09,404,65218,14273,2034
2020,09.10,379,65597,15064,2044
2020,09.11,205,65802,15577,2049
2020,09.12,247,66049,16613,2058
2020,09.13,1087,67136,17770,2065
2020,09.14,653,67789,17873,2079
2020,09.15,831,68620,18487,2087
2020,09.16,0,68620,18487,2087
2020,09.17,1040,69660,19983,2102
2020,09.18,460,70120,20677,2122
2020,09.19,491,70611,21149,2146
2020,09.20,532,71143,21810,2166
2020,09.21,473,71616,22065,2184
2020,09.22,459,72075,22611,2204
2020,09.23,231,72306,23230,2206
2020,09.24,369,72675,24022,2222
2020,09.25,518,73193,24580,2249
2020,09.26,647,73840,25728,2271
2020,09.27,708,74548,26088,2288
2020,09.28,561,75109,26374,2289
2020,09.29,428,75537,26957,2301
2020,09.30,561,76098,27383,2323
2020,10.01,802,76900,27922,2353
2020,10.02,698,77598,28517,2380
2020,10.03,671,78269,28978,2386
2020,10.04,519,78788,29187,2399
2020,10.05,841,79629,29305,2422
2020,10.06,391,80020,29768,2433
2020,10.07,642,80662,30131,2447
2020,10.08,354,81016,30590,2466
2020,10.09,656,81672,31089,2477
2020,10.10,880,82552,31736,2492
2020,10.11,594,83146,31931,2504
2020,10.12,935,84081,32012,2512
2020,10.13,332,84413,32214,2521
2020,10.14,439,84852,32772,2528
2020,10.15,606,85458,32990,2533
2020,10.16,631,86089,34099,2552
2020,10.17,602,86691,34546,2556
2020,10.18,903,87594,34662,2563
2020,10.19,831,88425,34964,2568
2020,10.20,956,89381,35398,2576
2020,10.21,851,90232,35930,2582
2020,10.22,846,91078,36341,2596
2020,10.23,431,91509,37132,2604
2020,10.24,373,91882,37697,2612
2020,10.25,842,92724,37866,2617
2020,10.26,490,93214,37996,2623
2020,10.27,752,93966,38536,2633
2020,10.28,657,94623,38833,2639
2020,10.29,576,95199,39126,2652
2020,10.30,951,96150,39804,2661
2020,10.31,738,96888,40129,2669
2020,11.01,516,97404,40379,2672
2020,11.02,808,98212,40687,2675
2020,11.03,193,98405,41116,2688
2020,11.04,283,98688,41848,2706
2020,11.05,436,99124,42153,2730
2020,11.06,223,99347,42574,2736
2020,11.07,229,99576,42609,2741
2020,11.08,465,100041,42815,2745
2020,11.09,467,100508,42959,2751
2020,11.10,65,100573,43177,2765
2020,11.11,0,100573,43177,2765
2020,11.12,596,101169,43857,2797
2020,11.13,299,101468,44068,2804
2020,11.14,611,102079,44236,2820
2020,11.15,476,102555,44551,2822
2020,11.16,547,103102,44778,2823
2020,11.17,137,103239,44915,2839
2020,11.18,249,103488,45082,2839
2020,11.19,0,103488,45082,2839
2020,11.20,0,103488,45082,2839
2020,11.21,63,103551,45825,2853
2020,11.22,884,104435,46208,2857
2020,11.23,480,104915,46475,2859
2020,11.24,296,105211,46616,2869
2020,11.25,0,105211,46616,2869
2020,11.26,905,106116,47006,2888
2020,11.27,565,106681,47354,2892
2020,11.28,453,107134,47576,2899
2020,11.29,379,107513,47638,2905
2020,11.30,375,107888,47680,2909
2020,12.01,365,108253,48073,2918
2020,12.02,0,108253,48073,2918
2020,12.03,891,109144,48877,2930
2020,12.04,616,109760,48953,2938
2020,12.05,0,109760,48953,2938
2020,12.06,200,109960,49096,2941
2020,12.07,1063,111023,49456,2946
2020,12.08,684,111707,49781,2950
2020,12.09,468,112175,50344,2952
2020,12.10,617,112792,50888,2961
2020,12.11,415,113207,50948,2968
2020,12.12,501,113708,51244,2971
2020,12.13,335,114043,51410,2974
2020,12.14,316,114359,51478,2975
2020,12.15,283,114642,51688,2989
2020,12.16,301,114943,52392,3001
2020,12.17,374,115317,52945,3013
2020,12.18,157,115474,53499,3021
2020,12.19,738,116212,54002,3023
2020,12.20,0,116212,54002,3023
2020,12.21,810,117022,54267,3027
2020,12.22,168,117190,54304,3034
2020,12.23,398,117588,54446,3046
2020,12.24,448,118036,54806,3054
2020,12.25,0,118036,54806,3054
2020,12.26,623,118659,55587,3061
2020,12.27,438,119097,55704,3065
2020,12.28,0,119097,55704,3065
2020,12.29,1006,120103,56463,3088
2020,12.30,809,120912,56580,3111
2020,12.31,915,121827,56694,3130
2021,01.01,936,122763,56936,3141
2021,01.02,211,122974,56936,3160
2021,01.03,170,123144,57348,3173
2021,01.04,225,123369,57348,3180
2021,01.05,29,123398,57348,3181
2021,01.06,424,123822,57348,3186
2021,01.07,1077,124899,57348,3192
2021,01.08,219,125118,57348,3200
2021,01.09,439,125557,58517,3244
2021,01.10,1386,126943,58788,3264
2021,01.11,1002,127945,58788,3273
2021,01.12,756,128701,59301,3285
2021,01.13,1104,129805,59389,3294
2021,01.14,1204,131009,59647,3320
2021,01.15,954,131963,59963,3335
2021,01.16,449,132412,60056,3344
2021,01.17,1095,133507,60056,3348
2021,01.18,604,134111,60132,3354
2021,01.19,827,134938,60165,3368
2021,01.20,1130,136068,60200,3391
2021,01.21,830,136898,60217,3406
2021,01.22,1146,138044,60392,3422
2021,01.23,1138,139182,60410,3439
2021,01.24,1056,140238,60448,3441
2021,01.25,691,140929,60469,3447
