year,date,confirm_add,confirm,heal,dead
2020,03.21,0,16,2,1
2020,03.22,0,16,2,1
2020,03.23,3,19,2,1
2020,03.24,2,21,2,1
2020,03.25,4,25,2,1
2020,03.26,1,26,2,1
2020,03.27,0,26,2,1
2020,03.28,4,30,2,1
2020,03.29,2,32,2,1
2020,03.30,2,34,2,1
2020,03.31,2,36,2,1
2020,04.01,2,38,2,2
2020,04.02,6,44,2,3
2020,04.03,3,47,2,3
2020,04.04,6,53,7,3
2020,04.05,2,55,7,3
2020,04.06,3,58,8,3
2020,04.07,1,59,8,3
2020,04.08,4,63,10,3
2020,04.09,0,63,10,4
2020,04.10,0,63,13,4
2020,04.11,2,65,13,4
2020,04.12,4,69,13,4
2020,04.13,3,72,16,4
2020,04.14,1,73,19,4
2020,04.15,32,105,21,5
2020,04.16,20,125,21,5
2020,04.17,18,143,25,5
2020,04.18,20,163,25,5
2020,04.19,10,173,25,5
2020,04.20,23,196,27,5
2020,04.21,27,223,27,6
2020,04.22,10,233,27,6
2020,04.23,19,252,28,6
2020,04.24,5,257,28,6
2020,04.25,31,288,28,7
2020,04.26,17,305,28,7
2020,04.27,45,350,28,7
2020,04.28,14,364,29,7
2020,04.29,17,381,29,7
2020,04.30,15,396,29,7
2020,05.01,26,422,29,8
2020,05.02,10,432,31,8
2020,05.03,0,432,31,8
2020,05.04,37,469,38,9
2020,05.05,2,471,49,9
2020,05.06,2,473,56,9
2020,05.07,5,478,57,9
2020,05.08,10,488,58,9
2020,05.09,2,490,62,9
2020,05.10,8,498,78,9
2020,05.11,4,502,90,9
2020,05.12,3,505,90,9
2020,05.13,2,507,100,9
2020,05.14,2,509,113,9
2020,05.15,0,509,118,9
2020,05.16,2,511,121,9
2020,05.17,6,517,121,9
2020,05.18,3,520,127,9
2020,05.19,0,520,131,9
2020,05.20,0,520,145,9
2020,05.21,9,529,171,9
2020,05.22,5,534,181,9
2020,05.23,10,544,191,9
2020,05.24,6,550,200,9
2020,05.25,2,552,211,9
2020,05.26,4,556,238,9
2020,05.27,8,564,267,9
2020,05.28,5,569,279,9
2020,05.29,0,569,284,9
2020,05.30,6,575,289,9
2020,05.31,6,581,290,9
2020,06.01,5,586,311,9
2020,06.02,2,588,322,9
2020,06.03,0,588,322,9
2020,06.04,3,591,361,10
2020,06.05,0,591,368,10
2020,06.06,4,595,385,10
2020,06.07,1,596,404,10
2020,06.08,2,598,405,10
2020,06.09,1,599,405,10
2020,06.10,6,605,405,10
2020,06.11,0,605,407,10
2020,06.12,6,611,408,10
2020,06.13,3,614,417,10
2020,06.14,1,615,420,10
2020,06.15,2,617,420,10
2020,06.16,4,621,430,10
2020,06.17,0,621,449,10
2020,06.18,5,626,451,10
2020,06.19,12,638,458,10
2020,06.20,14,652,458,10
2020,06.21,5,657,462,10
2020,06.22,2,659,516,10
2020,06.23,6,665,516,10
2020,06.24,5,670,518,10
2020,06.25,8,678,521,10
2020,06.26,6,684,526,10
2020,06.27,2,686,539,10
2020,06.28,4,690,552,10
2020,06.29,6,696,552,10
2020,06.30,2,698,553,10
2020,07.01,4,702,553,10
2020,07.02,5,707,555,10
2020,07.03,8,715,560,10
2020,07.04,6,721,565,10
2020,07.05,7,728,569,10
2020,07.06,4,732,584,10
2020,07.07,5,737,591,10
2020,07.08,8,745,599,10
2020,07.09,6,751,600,10
2020,07.10,2,753,603,10
2020,07.11,0,753,605,10
2020,07.12,5,758,615,10
2020,07.13,0,758,620,10
2020,07.14,1,759,628,10
2020,07.15,3,762,643,10
2020,07.16,1,763,647,10
2020,07.17,2,765,647,10
2020,07.18,3,768,678,10
2020,07.19,6,774,679,10
2020,07.20,16,790,693,10
2020,07.21,19,809,706,10
2020,07.22,1,810,709,10
2020,07.23,6,816,710,10
2020,07.24,5,821,711,10
2020,07.25,10,831,711,10
2020,07.26,6,837,711,10
2020,07.27,5,842,714,10
2020,07.28,11,853,714,10
2020,07.29,2,855,724,10
2020,07.30,1,856,724,10
2020,07.31,8,864,724,10
2020,08.01,14,878,726,10
2020,08.02,5,883,743,10
2020,08.03,11,894,743,12
2020,08.04,11,905,743,12
2020,08.05,15,920,745,12
2020,08.06,8,928,745,12
2020,08.07,30,958,745,12
2020,08.08,29,987,745,13
2020,08.09,16,1003,745,13
2020,08.10,20,1023,745,14
2020,08.11,8,1031,745,14
2020,08.12,16,1047,753,14
2020,08.13,18,1065,753,14
2020,08.14,6,1071,754,14
2020,08.15,11,1082,761,14
2020,08.16,24,1106,761,14
2020,08.17,7,1113,764,14
2020,08.18,16,1129,764,14
2020,08.19,17,1146,770,14
2020,08.20,46,1192,772,14
2020,08.21,98,1290,788,15
2020,08.22,56,1346,788,16
2020,08.23,67,1413,817,16
2020,08.24,116,1529,819,16
2020,08.25,83,1612,819,16
2020,08.26,120,1732,840,19
2020,08.27,72,1804,846,19
2020,08.28,66,1870,846,19
2020,08.29,141,2011,888,19
2020,08.30,102,2113,890,20
2020,08.31,244,2357,890,21
2020,09.01,102,2459,890,21
2020,09.02,224,2683,898,24
2020,09.03,139,2822,900,27
2020,09.04,74,2896,921,29
2020,09.05,68,2964,922,30
2020,09.06,60,3024,950,32
2020,09.07,79,3103,958,33
2020,09.08,80,3183,974,34
2020,09.09,140,3323,992,36
2020,09.10,114,3437,1019,38
2020,09.11,74,3511,1019,40
2020,09.12,0,3511,1019,40
2020,09.13,112,3623,1072,40
2020,09.14,148,3771,1149,42
2020,09.15,162,3933,1161,44
2020,09.16,109,4042,1163,46
2020,09.17,122,4164,1180,46
2020,09.18,210,4374,1225,51
2020,09.19,197,4571,1264,55
2020,09.20,187,4758,1327,60
2020,09.21,385,5143,1407,70
2020,09.22,0,5143,1407,70
2020,09.23,252,5395,1444,76
2020,09.24,193,5588,1490,77
2020,09.25,135,5723,1496,80
2020,09.26,131,5854,1624,88
2020,09.27,163,6017,1706,89
2020,09.28,0,6017,1706,89
2020,09.29,391,6408,1770,101
2020,09.30,74,6482,1867,107
2020,10.01,73,6555,1991,111
2020,10.02,149,6704,2112,116
2020,10.03,91,6795,2345,119
