year,date,confirm_add,confirm,heal,dead
2020,03.02,1,1,0,0
2020,03.03,0,1,0,0
2020,03.04,0,1,0,0
2020,03.05,0,1,0,0
2020,03.06,0,1,0,0
2020,03.07,0,1,0,0
2020,03.08,0,1,0,0
2020,03.09,0,1,0,0
2020,03.10,0,1,0,0
2020,03.11,0,1,0,0
2020,03.12,0,1,0,0
2020,03.13,0,1,0,0
2020,03.14,0,1,1,0
2020,03.15,6,7,1,0
2020,03.16,6,13,1,0
2020,03.17,17,30,1,0
2020,03.18,19,49,1,0
2020,03.19,8,57,1,0
2020,03.20,13,70,1,0
2020,03.21,14,84,1,0
2020,03.22,15,99,1,0
2020,03.23,13,112,1,0
2020,03.24,15,127,1,0
2020,03.25,26,153,1,0
2020,03.26,19,172,1,0
2020,03.27,40,212,1,0
2020,03.28,23,235,18,1
2020,03.29,11,246,18,1
2020,03.30,13,259,18,3
2020,03.31,9,268,26,5
2020,04.01,6,274,30,5
2020,04.02,4,278,36,5
2020,04.03,21,299,45,5
2020,04.04,11,310,58,5
2020,04.05,13,323,74,5
2020,04.06,22,345,110,5
2020,04.07,4,349,126,6
2020,04.08,4,353,138,6
2020,04.09,5,358,150,6
2020,04.10,14,372,161,7
2020,04.11,0,372,170,7
2020,04.12,9,381,177,7
2020,04.13,8,389,201,7
2020,04.14,2,391,215,7
2020,04.15,6,397,235,7
2020,04.16,4,401,250,7
2020,04.17,1,402,259,7
2020,04.18,5,407,265,7
2020,04.19,6,413,269,7
2020,04.20,4,417,276,7
2020,04.21,8,425,282,7
2020,04.22,3,428,297,7
2020,04.23,7,435,315,7
2020,04.24,2,437,318,7
2020,04.25,7,444,332,7
2020,04.26,0,444,332,7
2020,04.27,3,447,337,7
2020,04.28,2,449,348,8
2020,04.29,0,449,348,8
2020,04.30,4,453,362,8
2020,05.01,0,453,362,8
2020,05.02,6,459,364,9
2020,05.03,1,460,367,9
2020,05.04,5,465,370,9
2020,05.05,0,465,370,9
2020,05.06,6,471,375,9
2020,05.07,13,484,381,9
2020,05.08,10,494,381,9
2020,05.09,14,508,385,9
2020,05.10,14,522,387,9
2020,05.11,18,540,389,9
2020,05.12,22,562,390,9
2020,05.13,20,582,392,9
2020,05.14,0,582,392,9
2020,05.15,14,596,401,9
2020,05.16,0,596,401,9
2020,05.17,11,607,404,9
2020,05.18,6,613,408,9
2020,05.19,16,629,413,9
2020,05.20,20,649,417,9
2020,05.21,23,672,446,9
2020,05.22,12,684,457,9
2020,05.23,16,700,461,9
2020,05.24,8,708,471,9
2020,05.25,0,708,471,9
2020,05.26,3,711,479,9
2020,05.27,7,718,586,9
2020,05.28,10,728,486,9
2020,05.29,0,728,497,9
2020,05.30,2,730,507,9
2020,05.31,9,739,522,9
2020,06.01,0,739,522,9
2020,06.02,16,755,549,9
2020,06.03,0,755,549,9
2020,06.04,2,757,561,9
2020,06.05,8,765,566,9
2020,06.06,19,784,571,9
2020,06.07,24,808,607,9
2020,06.08,23,831,627,9
2020,06.09,0,831,627,9
2020,06.10,14,845,657,9
2020,06.11,18,863,663,9
2020,06.12,27,890,670,9
2020,06.13,25,915,671,9
2020,06.14,46,961,682,9
2020,06.15,18,979,692,9
2020,06.16,2,981,693,9
2020,06.17,6,987,693,9
2020,06.18,0,987,693,9
2020,06.19,14,1001,697,9
2020,06.20,7,1008,708,9
2020,06.21,25,1033,739,9
2020,06.22,0,1033,739,9
2020,06.23,9,1042,751,9
2020,06.24,5,1047,772,9
2020,06.25,39,1086,797,9
2020,06.26,0,1086,797,9
2020,06.27,18,1104,830,9
2020,06.28,17,1121,860,9
2020,06.29,7,1128,867,9
2020,06.30,0,1128,867,9
2020,07.01,4,1132,882,9
2020,07.02,1,1133,886,9
2020,07.03,3,1136,889,9
2020,07.04,11,1147,897,10
2020,07.05,17,1164,902,10
2020,07.06,0,1164,942,10
2020,07.07,3,1167,957,10
2020,07.08,2,1169,969,10
2020,07.09,0,1169,977,10
2020,07.10,0,1169,982,10
2020,07.11,4,1173,986,10
2020,07.12,3,1176,991,10
2020,07.13,3,1179,997,10
2020,07.14,4,1183,1008,10
2020,07.15,15,1198,1013,10
2020,07.16,3,1201,1016,10
2020,07.17,5,1206,1019,10
2020,07.18,3,1209,1021,10
2020,07.19,5,1214,1022,11
2020,07.20,4,1218,1024,11
2020,07.21,5,1223,1028,11
2020,07.22,-110,1113,1034,11
2020,07.23,18,1131,1035,11
2020,07.24,0,1131,1035,11
2020,07.25,15,1146,1035,11
2020,07.26,22,1168,1041,11
2020,07.27,0,1168,1041,11
2020,07.28,8,1176,1041,11
2020,07.29,6,1182,1042,11
2020,07.30,5,1187,1049,11
2020,07.31,6,1193,1084,11
2020,08.01,0,1193,1084,11
2020,08.02,15,1208,1094,11
2020,08.03,5,1213,1099,11
2020,08.04,5,1218,1131,11
2020,08.05,6,1224,1155,11
2020,08.06,7,1231,1160,11
2020,08.07,1,1232,1171,11
2020,08.08,5,1237,1178,11
2020,08.09,9,1246,1178,11
2020,08.10,6,1252,1187,11
2020,08.11,16,1268,1187,11
2020,08.12,15,1283,1189,11
2020,08.13,37,1320,1222,11
2020,08.14,0,1320,1222,11
2020,08.15,9,1329,1229,11
2020,08.16,10,1339,1229,11
2020,08.17,39,1378,1236,11
2020,08.18,20,1398,1241,11
2020,08.19,40,1438,1243,11
2020,08.20,60,1498,1261,11
2020,08.21,0,1498,1261,11
2020,08.22,34,1532,1262,11
2020,08.23,77,1609,1320,12
2020,08.24,0,1609,1320,12
2020,08.25,107,1716,1344,14
2020,08.26,0,1716,1344,14
2020,08.27,85,1801,1364,15
2020,08.28,0,1801,1364,15
2020,08.29,68,1869,1367,15
2020,08.30,24,1893,1447,15
2020,08.31,141,2034,1508,15
2020,09.01,0,2034,1508,15
2020,09.02,63,2097,1564,15
2020,09.03,64,2161,1610,15
2020,09.04,72,2233,1648,16
2020,09.05,68,2301,1676,16
2020,09.06,52,2353,1700,16
2020,09.07,58,2411,1756,16
2020,09.08,67,2478,1817,17
2020,09.09,103,2581,1885,19
2020,09.10,158,2739,1981,20
2020,09.11,0,2739,1981,20
2020,09.12,206,2945,2084,21
2020,09.13,117,3062,2156,22
2020,09.14,252,3314,2206,24
2020,09.15,214,3528,2255,26
2020,09.16,149,3677,2311,26
2020,09.17,454,4131,2415,26
2020,09.18,213,4344,2511,29
2020,09.19,196,4540,2672,30
2020,09.20,239,4779,2844,30
2020,09.21,0,4779,2844,30
2020,09.22,266,5045,3527,32
2020,09.23,997,6042,3812,35
2020,09.24,0,6042,3812,35
2020,09.25,549,6591,3937,36
2020,09.26,1470,8061,4131,43
2020,09.27,431,8492,4222,45
2020,09.28,0,8492,4222,45
2020,09.29,734,9226,4359,51
2020,09.30,2599,11825,4626,61
2020,10.01,1276,13101,4752,69
2020,10.02,549,13650,4752,79
2020,10.03,0,13650,4929,79
2020,10.04,1990,15640,5240,101
2020,10.05,0,15640,5240,101
2020,10.06,1824,17464,5292,110
2020,10.07,2736,20200,5575,131
2020,10.08,0,20200,5575,131
2020,10.09,2563,22763,5906,166
2020,10.10,1235,23998,6045,181
2020,10.11,928,24926,6101,191
2020,10.12,1147,26073,6219,207
2020,10.13,0,26073,6219,207
2020,10.14,2054,28127,6361,225
2020,10.15,4882,33009,6565,282
2020,10.16,0,33009,6565,282
2020,10.17,1539,34548,6692,310
2020,10.18,3025,37573,6912,345
2020,10.19,0,37573,6912,345
2020,10.20,1364,38937,7006,380
2020,10.21,2035,40972,7123,414
2020,10.22,2648,43620,7223,443
2020,10.23,2821,46441,7340,481
2020,10.24,2489,48930,7449,508
2020,10.25,4157,53087,7508,579
2020,10.26,1968,55055,7508,624
2020,10.27,3800,58855,7508,668
2020,10.28,0,58855,7508,668
2020,10.29,6530,65385,7508,740
