year,date,confirm_add,confirm,heal,dead
2020,01.30,0,1,0,0
2020,01.31,0,1,0,0
2020,02.01,0,1,0,0
2020,02.02,0,1,0,0
2020,02.03,0,1,0,0
2020,02.04,0,1,0,0
2020,02.05,0,1,0,0
2020,02.06,0,1,1,0
2020,02.07,0,1,1,0
2020,02.08,0,1,1,0
2020,02.09,0,1,1,0
2020,02.10,0,1,1,0
2020,02.11,0,1,1,0
2020,02.12,0,1,1,0
2020,02.13,0,1,1,0
2020,02.14,0,1,1,0
2020,02.15,0,1,1,0
2020,02.16,0,1,1,0
2020,02.17,0,1,1,0
2020,02.18,0,1,1,0
2020,02.19,0,1,1,0
2020,02.20,0,1,1,0
2020,02.21,0,1,1,0
2020,02.22,0,1,1,0
2020,02.23,0,1,1,0
2020,02.24,0,1,1,0
2020,02.25,0,1,1,0
2020,02.26,0,1,1,0
2020,02.27,1,2,1,0
2020,02.28,0,2,1,0
2020,02.29,1,3,1,0
2020,03.01,0,3,1,0
2020,03.02,3,6,1,0
2020,03.03,1,7,1,0
2020,03.04,0,7,1,0
2020,03.05,5,12,1,0
2020,03.06,3,15,1,0
2020,03.07,4,19,1,0
2020,03.08,0,19,1,0
2020,03.09,11,30,1,0
2020,03.10,7,40,1,0
2020,03.11,0,40,1,0
2020,03.12,25,65,1,0
2020,03.13,90,155,1,0
2020,03.14,0,155,1,0
2020,03.15,89,244,1,0
2020,03.16,0,244,1,0
2020,03.17,28,272,1,0
2020,03.18,51,333,1,0
2020,03.19,26,359,10,0
2020,03.20,41,400,10,0
2020,03.21,121,521,10,1
2020,03.22,0,521,10,1
2020,03.23,105,626,10,1
2020,03.24,74,700,10,1
2020,03.25,92,792,10,1
2020,03.26,88,880,10,3
2020,03.27,78,958,10,5
2020,03.28,205,1163,10,9
2020,03.29,77,1240,10,11
2020,03.30,77,1240,10,11
2020,03.31,178,1418,10,17
2020,04.01,28,1446,10,17
2020,04.02,72,1518,300,19
2020,04.03,97,1615,300,20
2020,04.04,267,1882,300,25
2020,04.05,45,1927,300,28
2020,04.06,249,2176,300,27
2020,04.07,132,2308,300,34
2020,04.08,179,2487,300,40
2020,04.09,118,2605,300,42
2020,04.10,164,2769,300,48
2020,04.11,136,2905,300,49
2020,04.12,69,2974,300,56
2020,04.13,90,3064,300,59
2020,04.14,97,3161,300,64
2020,04.15,76,3237,300,72
2020,04.16,132,3369,1700,75
2020,04.17,120,3489,1700,82
2020,04.18,192,3681,1700,90
2020,04.19,102,3783,1700,94
2020,04.20,85,3868,1700,98
2020,04.21,146,4014,2000,141
2020,04.22,115,4129,2000,149
2020,04.23,155,4284,2000,172
2020,04.24,111,4395,2500,177
2020,04.25,80,4475,2500,186
2020,04.26,101,4576,2500,190
2020,04.27,119,4695,2500,193
2020,04.28,45,4740,2800,199
2020,04.29,166,4906,2800,206
2020,04.30,89,4995,3000,211
2020,05.01,56,5051,3000,218
2020,05.02,125,5176,3000,220
2020,05.03,0,5176,3000,220
2020,05.04,151,5327,3500,240
2020,05.05,85,5412,3500,246
2020,05.06,161,5573,3500,252
2020,05.07,100,5673,3500,255
2020,05.08,65,5738,4000,260
2020,05.09,142,5880,4000,265
2020,05.10,82,5962,4000,267
2020,05.11,22,5984,4000,271
2020,05.12,19,6003,4300,275
2020,05.13,51,6054,4300,284
2020,05.14,91,6145,4300,287
2020,05.15,83,6228,5000,293
2020,05.16,58,6286,5000,297
2020,05.17,61,6347,5000,298
2020,05.18,33,6380,5000,300
2020,05.19,19,6399,5000,301
2020,05.20,44,6443,5000,304
2020,05.21,50,6493,4800,306
2020,05.22,44,6537,4800,306
2020,05.23,31,6568,4800,306
2020,05.24,11,6579,4800,307
2020,05.25,20,6599,5100,308
2020,05.26,29,6628,5100,312
2020,05.27,64,6692,5100,313
2020,05.28,51,6743,5500,313
2020,05.29,33,6776,5500,314
2020,05.30,50,6826,5500,316
2020,05.31,33,6859,5500,320
2020,06.01,26,6885,5500,318
2020,06.02,2,6887,5500,320
2020,06.03,0,6887,5500,320
2020,06.04,24,6911,5800,322
2020,06.05,30,6941,5800,322
2020,06.06,23,6964,5800,322
2020,06.07,17,6981,5800,323
2020,06.08,20,7001,5800,323
2020,06.09,24,7025,5800,324
2020,06.10,0,7025,5800,324
2020,06.11,39,7064,6200,325
2020,06.12,9,7073,6200,325
2020,06.13,14,7087,6200,325
2020,06.14,17,7104,6200,326
2020,06.15,4,7108,6200,326
2020,06.16,4,7112,6200,326
2020,06.17,5,7117,6200,326
2020,06.18,2,7119,6200,326
2020,06.19,14,7133,6200,326
2020,06.20,9,7142,6200,326
2020,06.21,1,7143,6200,326
2020,06.22,1,7144,6400,327
2020,06.23,11,7155,6400,327
2020,06.24,12,7167,6600,327
2020,06.25,5,7172,6600,327
2020,06.26,19,7191,6600,328
2020,06.27,7,7198,6600,328
2020,06.28,0,7198,6600,328
2020,06.29,11,7209,6600,328
2020,06.30,5,7214,6600,328
2020,07.01,22,7236,6700,328
2020,07.02,5,7241,6700,328
2020,07.03,1,7242,6700,329
2020,07.04,6,7248,6700,329
2020,07.05,5,7253,6700,329
2020,07.06,4,7257,6700,329
2020,07.07,5,7262,6700,329
2020,07.08,3,7265,6800,329
2020,07.09,8,7273,6800,329
2020,07.10,6,7279,6800,329
2020,07.11,12,7291,6800,329
2020,07.12,3,7294,6800,329
2020,07.13,1,7295,6800,329
2020,07.14,6,7301,6800,329
2020,07.15,-5,7296,6880,328
2020,07.16,-3,7293,6880,328
2020,07.17,8,7301,6880,328
2020,07.18,17,7318,6880,328
2020,07.19,17,7335,6880,328
2020,07.20,5,7340,6880,328
2020,07.21,11,7351,6880,328
2020,07.22,11,7362,6920,328
2020,07.23,10,7372,6920,328
2020,07.24,8,7380,6920,329
2020,07.25,8,7388,6920,329
2020,07.26,5,7393,6920,329
2020,07.27,5,7398,6920,329
2020,07.28,6,7404,6920,329
2020,07.29,10,7414,6950,329
2020,07.30,9,7423,6950,329
2020,07.31,9,7432,6950,329
2020,08.01,11,7443,6950,329
2020,08.02,10,7453,6950,329
2020,08.03,13,7466,6950,329
2020,08.04,17,7483,6950,331
2020,08.05,29,7512,6980,331
2020,08.06,20,7532,6980,331
2020,08.07,22,7554,6980,331
2020,08.08,14,7568,6980,331
2020,08.09,16,7584,6980,331
2020,08.10,17,7601,6980,333
2020,08.11,22,7623,6980,333
2020,08.12,19,7642,7050,333
2020,08.13,41,7683,7050,333
2020,08.14,17,7700,7050,333
2020,08.15,20,7720,7050,333
2020,08.16,11,7731,7050,333
2020,08.17,21,7752,7050,334
2020,08.18,24,7776,7050,334
2020,08.19,29,7805,7100,334
2020,08.20,37,7842,7100,334
2020,08.21,29,7871,7100,334
2020,08.22,35,7906,7100,334
2020,08.23,14,7920,7100,334
2020,08.24,18,7938,7100,335
2020,08.25,43,7981,7100,335
2020,08.26,21,8002,7200,335
2020,08.27,17,8019,7200,335
2020,08.28,23,8042,7200,335
2020,08.29,7,8049,7200,335
2020,08.30,28,8077,7200,335
2020,08.31,9,8086,7200,336
2020,09.01,56,8142,7200,336
2020,09.02,19,8161,7200,336
2020,09.03,39,8200,7350,336
2020,09.04,25,8225,7350,336
2020,09.05,36,8261,7350,336
2020,09.06,30,8291,7350,336
2020,09.07,36,8327,7350,336
2020,09.08,10,8337,7350,336
2020,09.09,93,8430,7500,337
2020,09.10,39,8469,7500,337
2020,09.11,43,8512,7500,337
2020,09.12,45,8557,7500,337
2020,09.13,23,8580,7500,337
2020,09.14,47,8627,7500,337
2020,09.15,98,8725,7500,339
2020,09.16,25,8750,7700,339
2020,09.17,49,8799,7700,339
2020,09.18,59,8858,7700,339
2020,09.19,64,8922,7700,339
2020,09.20,58,8980,7700,339
2020,09.21,66,9046,7700,341
2020,09.22,149,9195,7700,341
2020,09.23,93,9288,7850,343
2020,09.24,91,9379,7850,343
2020,09.25,105,9484,7850,343
2020,09.26,93,9577,7850,343
2020,09.27,105,9682,7850,343
2020,09.28,61,9743,7850,345
2020,09.29,149,9892,7850,345
2020,09.30,100,9992,8100,344
2020,10.01,111,10103,8100,344
2020,10.02,141,10244,8100,345
2020,10.03,147,10391,8100,345
2020,10.04,147,10538,8100,345
2020,10.05,164,10702,8100,346
2020,10.06,227,10929,8100,346
2020,10.07,120,11049,8100,346
2020,10.08,296,11345,8500,346
2020,10.09,235,11580,8500,346
2020,10.10,269,11849,8500,346
2020,10.11,149,11998,8500,346
2020,10.12,214,12212,8500,346
2020,10.13,287,12499,8500,346
2020,10.14,204,12703,9100,350
2020,10.15,241,12944,9100,350
2020,10.16,189,13133,9100,351
2020,10.17,160,13293,9100,351
2020,10.18,131,13424,9100,351
2020,10.19,131,13555,9100,351
2020,10.20,294,13849,9100,351
2020,10.21,222,14071,9800,355
2020,10.22,184,14255,9800,355
2020,10.23,219,14474,9800,353
2020,10.24,178,14652,9800,353
2020,10.25,196,14848,9800,353
2020,10.26,122,14970,9800,354
2020,10.27,193,15163,9800,354
2020,10.28,215,15378,11300,354
2020,10.29,188,15566,11300,354
2020,10.30,344,15910,11300,358
2020,10.31,203,16113,11300,358
2020,11.01,178,16291,11300,358
2020,11.02,109,16400,11300,359
2020,11.03,237,16637,11300,359
2020,11.04,293,16930,12700,361
2020,11.05,189,17119,12700,361
2020,11.06,266,17385,12700,362
2020,11.07,0,17385,12700,362
2020,11.08,412,17797,12700,362
2020,11.09,90,17887,12700,363
2020,11.10,0,17887,12700,363
2020,11.11,220,18107,12700,363
2020,11.12,435,18542,14000,365
2020,11.13,316,18858,14000,369
2020,11.14,244,19102,14000,369
2020,11.15,213,19315,14000,369
2020,11.16,104,19419,14000,371
2020,11.17,228,19647,14000,371
2020,11.18,288,19935,15300,374
2020,11.19,351,20286,15300,374
2020,11.20,461,20747,15300,375
2020,11.21,469,21216,15300,375
2020,11.22,423,21639,15300,375
2020,11.23,297,21936,15300,384
2020,11.24,353,22289,15300,384
2020,11.25,363,22652,16800,388
2020,11.26,496,23148,16800,388
2020,11.27,618,23766,16800,393
2020,11.28,541,24307,16800,393
2020,11.29,322,24629,16800,393
2020,11.30,283,24912,16800,399
2020,12.01,550,25462,16800,399
2020,12.02,420,25882,18100,408
2020,12.03,540,26422,18100,408
2020,12.04,336,26758,18100,408
2020,12.05,460,27218,18100,415
2020,12.06,413,27631,18100,415
2020,12.07,250,27881,18100,424
2020,12.08,361,28242,18100,424
2020,12.09,490,28732,18100,425
2020,12.10,840,29572,20000,442
2020,12.11,501,30073,20000,442
2020,12.12,377,30450,20000,453
2020,12.13,360,30810,20000,453
