year,date,confirm_add,confirm,heal,dead
2020,04.03,0,3,0,0
2020,04.04,1,4,0,0
2020,04.05,0,4,0,0
2020,04.06,1,5,0,0
2020,04.07,3,8,0,1
2020,04.08,0,8,0,1
2020,04.09,0,8,0,1
2020,04.10,1,9,0,1
2020,04.11,3,12,0,2
2020,04.12,1,13,0,2
2020,04.13,3,16,0,2
2020,04.14,0,16,0,2
2020,04.15,0,16,0,2
2020,04.16,0,16,0,2
2020,04.17,1,17,0,2
2020,04.18,0,17,3,2
2020,04.19,0,17,3,2
2020,04.20,0,17,3,2
2020,04.21,1,18,3,2
2020,04.22,5,23,3,3
2020,04.23,10,33,3,3
2020,04.24,0,33,3,3
2020,04.25,0,33,4,3
2020,04.26,1,34,4,3
2020,04.27,2,36,4,3
2020,04.28,0,36,4,3
2020,04.29,0,36,5,3
2020,04.30,1,37,7,3
2020,05.01,0,37,7,3
2020,05.02,0,37,9,3
2020,05.03,1,38,9,3
2020,05.04,3,41,9,3
2020,05.05,0,41,9,3
2020,05.06,2,43,9,3
2020,05.07,0,43,9,3
2020,05.08,0,43,14,3
2020,05.09,13,56,14,3
2020,05.10,0,56,14,3
2020,05.11,0,56,14,3
2020,05.12,1,57,24,3
2020,05.13,6,63,24,3
2020,05.14,0,63,24,3
2020,05.15,0,63,24,3
2020,05.16,0,63,24,3
2020,05.17,2,65,24,3
2020,05.18,5,70,27,3
2020,05.19,0,70,27,3
2020,05.20,1,71,27,3
2020,05.21,0,71,27,3
2020,05.22,1,72,27,3
2020,05.23,10,82,28,3
2020,05.24,0,82,28,4
2020,05.25,19,101,33,4
2020,05.26,0,101,37,4
2020,05.27,0,101,37,4
2020,05.28,102,203,37,4
2020,05.29,0,203,42,4
2020,05.30,70,273,42,4
2020,05.31,6,279,42,4
2020,06.01,5,284,42,4
2020,06.02,52,336,42,4
2020,06.03,22,358,42,4
2020,06.04,11,369,51,4
2020,06.05,24,393,51,4
2020,06.06,16,409,55,4
2020,06.07,0,409,55,4
2020,06.08,29,438,55,4
2020,06.09,5,443,55,4
2020,06.10,12,455,55,4
2020,06.11,0,455,55,4
2020,06.12,26,481,55,4
2020,06.13,0,481,65,4
2020,06.14,48,529,66,5
2020,06.15,18,547,69,6
2020,06.16,8,555,69,6
2020,06.17,9,564,73,6
2020,06.18,8,572,73,6
2020,06.19,20,592,74,8
2020,06.20,28,620,91,8
2020,06.21,110,730,91,11
2020,06.22,19,749,258,11
2020,06.23,54,803,258,11
2020,06.24,0,803,258,11
2020,06.25,138,941,259,11
2020,06.26,19,960,260,12
2020,06.27,45,1005,260,13
2020,06.28,33,1038,260,13
2020,06.29,108,1146,260,13
2020,06.30,78,1224,260,14
2020,07.01,41,1265,260,16
2020,07.02,77,1342,271,16
2020,07.03,60,1402,317,16
2020,07.04,96,1498,317,16
2020,07.05,115,1613,317,17
2020,07.06,129,1742,317,19
2020,07.07,76,1818,317,19
2020,07.08,46,1864,345,24
2020,07.09,78,1942,369,25
2020,07.10,42,1984,369,29
2020,07.11,85,2069,379,31
2020,07.12,192,2261,517,33
2020,07.13,103,2364,557,38
2020,07.14,66,2430,747,39
2020,07.15,67,2497,795,40
2020,07.16,117,2614,1005,43
2020,07.17,98,2712,1073,51
2020,07.18,98,2810,1111,55
2020,07.19,97,2907,1135,59
2020,07.20,85,2992,1153,62
2020,07.21,53,3045,1180,64
2020,07.22,104,3149,1256,71
2020,07.23,153,3302,1282,76
2020,07.24,84,3386,1328,79
2020,07.25,67,3453,1373,87
2020,07.26,104,3557,1585,94
2020,07.27,83,3640,1639,99
2020,07.28,69,3709,1667,103
2020,07.29,29,3738,1728,103
2020,07.30,120,3858,1760,107
2020,07.31,123,3981,1807,109
2020,08.01,97,4078,1875,114
2020,08.02,108,4186,1914,120
2020,08.03,45,4231,1919,123
2020,08.04,41,4272,1945,123
2020,08.05,89,4361,2047,128
2020,08.06,65,4426,2078,136
2020,08.07,65,4491,2137,137
2020,08.08,84,4575,2184,137
2020,08.09,49,4624,2329,143
2020,08.10,34,4658,2375,146
2020,08.11,16,4674,2430,146
2020,08.12,40,4714,2477,152
2020,08.13,38,4752,2529,152
2020,08.14,160,4912,2550,153
2020,08.15,76,4988,2576,156
2020,08.16,38,5026,2623,157
2020,08.17,46,5072,2626,161
2020,08.18,53,5125,2690,162
2020,08.19,68,5193,2716,163
