year,date,confirm_add,confirm,heal,dead
2020,01.28,0,4,0,0
2020,01.29,3,7,0,0
2020,01.30,1,8,0,0
2020,01.31,0,8,0,0
2020,02.01,0,8,0,0
2020,02.02,0,8,0,0
2020,02.03,0,8,0,0
2020,02.04,2,10,0,0
2020,02.05,2,12,1,0
2020,02.06,2,14,1,0
2020,02.07,1,15,1,0
2020,02.08,1,16,2,0
2020,02.09,1,17,2,0
2020,02.10,1,18,3,0
2020,02.11,0,18,3,0
2020,02.12,0,18,3,0
2020,02.13,1,19,3,0
2020,02.14,0,19,3,0
2020,02.15,2,21,3,0
2020,02.16,1,22,7,0
2020,02.17,0,22,9,0
2020,02.18,0,22,9,0
2020,02.19,0,22,15,0
2020,02.20,0,22,15,0
2020,02.21,0,22,15,0
2020,02.22,0,22,15,0
2020,02.23,0,22,15,0
2020,02.24,0,22,15,0
2020,02.25,0,22,15,0
2020,02.26,0,22,15,0
2020,02.27,1,23,15,0
2020,02.28,2,25,15,0
2020,02.29,2,25,21,0
2020,03.01,4,29,21,0
2020,03.02,0,29,21,0
2020,03.03,11,36,21,0
2020,03.04,14,50,21,0
2020,03.05,5,55,21,0
2020,03.06,0,55,21,0
2020,03.07,38,93,23,0
2020,03.08,6,99,24,0
2020,03.09,18,117,24,0
2020,03.10,12,129,24,0
2020,03.11,20,149,26,0
2020,03.12,9,158,32,0
2020,03.13,39,197,32,0
2020,03.14,41,238,35,0
2020,03.15,190,428,35,0
2020,03.16,125,553,35,0
2020,03.17,120,673,49,2
2020,03.18,117,790,60,2
2020,03.19,110,900,75,2
2020,03.20,130,1030,87,3
2020,03.21,283,1183,114,8
2020,03.22,406,1306,114,10
2020,03.23,212,1518,114,14
2020,03.24,318,1624,183,15
2020,03.25,490,1796,199,19
2020,03.26,235,2031,215,23
2020,03.27,130,2161,259,26
2020,03.28,159,2320,259,26
2020,03.29,150,2470,388,34
2020,03.30,156,2626,479,37
2020,03.31,140,2766,537,43
2020,04.01,142,2908,645,45
2020,04.02,208,3116,767,50
2020,04.03,217,3333,827,53
2020,04.04,150,3483,915,57
2020,04.05,179,3662,1005,61
2020,04.06,131,3793,1241,62
2020,04.07,170,3963,1321,63
2020,04.08,156,4119,1487,65
2020,04.09,109,4228,1608,67
2020,04.10,118,4346,1830,70
2020,04.11,184,4530,1995,73
2020,04.12,153,4683,2108,76
2020,04.13,134,4817,2276,77
2020,04.14,170,4987,2478,82
2020,04.15,85,5072,2647,83
2020,04.16,110,5182,2766,84
2020,04.17,69,5251,2967,86
2020,04.18,54,5305,3102,88
2020,04.19,84,5389,3197,89
2020,04.20,36,5425,3295,89
2020,04.21,57,5482,3349,92
2020,04.22,50,5532,3452,93
2020,04.23,71,5603,3542,95
2020,04.24,88,5691,3663,96
2020,04.25,51,5742,3762,98
2020,04.26,38,5780,3862,98
2020,04.27,40,5820,3957,99
2020,04.28,31,5851,4032,100
2020,04.29,94,5945,4087,100
2020,04.30,57,6002,4171,102
2020,05.01,69,6071,4210,103
2020,05.02,105,6176,4326,103
2020,05.03,0,6176,4326,103
2020,05.04,177,6353,4484,105
2020,05.05,30,6383,4567,106
2020,05.06,45,6428,4702,107
2020,05.07,39,6467,4776,107
2020,05.08,68,6535,4864,107
2020,05.09,54,6589,4929,108
2020,05.10,67,6656,5025,108
2020,05.11,70,6726,5113,109
2020,05.12,16,6742,5223,109
2020,05.13,37,6779,5281,111
2020,05.14,40,6819,5351,112
2020,05.15,36,6855,5439,112
2020,05.16,17,6872,5512,113
2020,05.17,22,6894,5571,113
2020,05.18,47,6941,5615,113
2020,05.19,37,6978,5646,114
2020,05.20,31,7009,5706,114
2020,05.21,50,7059,5796,114
2020,05.22,78,7137,5859,115
2020,05.23,48,7185,5912,115
2020,05.24,60,7245,5945,115
2020,05.25,172,7417,5979,115
2020,05.26,187,7604,6041,115
2020,05.27,15,7619,6083,115
2020,05.28,10,7629,6169,115
2020,05.29,103,7732,6235,115
2020,05.30,30,7762,6330,115
2020,05.31,57,7819,6353,115
2020,06.01,38,7857,6404,115
2020,06.02,20,7877,6470,115
2020,06.03,0,7877,6470,115
2020,06.04,370,8247,6559,115
2020,06.05,19,8266,6610,116
2020,06.06,37,8303,6635,117
2020,06.07,19,8322,6674,117
2020,06.08,7,8329,6694,117
2020,06.09,7,8336,6975,117
2020,06.10,2,8338,7014,118
2020,06.11,31,8369,7065,118
2020,06.12,33,8402,7168,119
2020,06.13,43,8445,7311,120
2020,06.14,8,8453,7346,121
2020,06.15,41,8494,7400,121
2020,06.16,11,8505,7733,121
2020,06.17,10,8515,7873,121
2020,06.18,14,8529,8000,121
2020,06.19,6,8535,8070,121
2020,06.20,21,8556,8146,121
2020,06.21,16,8572,8156,121
2020,06.22,15,8587,8177,121
2020,06.23,3,8590,8186,121
2020,06.24,6,8596,8231,121
2020,06.25,4,8600,8271,121
2020,06.26,6,8606,8294,121
2020,06.27,10,8616,8308,121
2020,06.28,18,8634,8318,121
2020,06.29,3,8637,8334,121
2020,06.30,2,8639,8354,121
2020,07.01,1,8640,8375,121
2020,07.02,3,8643,8437,121
2020,07.03,5,8648,8446,121
2020,07.04,10,8658,8461,121
2020,07.05,5,8663,8465,121
2020,07.06,5,8668,8476,121
2020,07.07,6,8674,8481,121
2020,07.08,3,8677,8486,121
2020,07.09,6,8683,8499,121
2020,07.10,13,8696,8511,121
2020,07.11,8,8704,8515,122
2020,07.12,14,8718,8519,122
2020,07.13,7,8725,8520,122
2020,07.14,4,8729,8524,122
2020,07.15,5,8734,8526,122
2020,07.16,3,8737,8538,122
2020,07.17,18,8755,8541,122
2020,07.18,9,8764,8546,122
2020,07.19,15,8779,8553,123
2020,07.20,21,8800,8555,123
2020,07.21,15,8815,8562,123
2020,07.22,16,8831,8566,123
2020,07.23,9,8840,8574,123
2020,07.24,21,8861,8577,123
2020,07.25,23,8884,8594,123
2020,07.26,13,8897,8600,124
2020,07.27,7,8904,8601,124
2020,07.28,39,8943,8607,124
2020,07.29,13,8956,8612,124
2020,07.30,8,8964,8617,124
2020,07.31,12,8976,8644,125
2020,08.01,9,8985,8647,125
2020,08.02,14,8999,8664,125
2020,08.03,2,9001,8668,125
2020,08.04,1,9002,8684,125
2020,08.05,21,9023,8702,125
2020,08.06,15,9038,8713,125
2020,08.07,25,9063,8728,125
2020,08.08,7,9070,8775,125
2020,08.09,13,9083,8784,125
2020,08.10,11,9094,8803,125
2020,08.11,9,9103,8809,125
2020,08.12,11,9114,8817,125
2020,08.13,15,9129,8821,125
2020,08.14,20,9149,8828,125
2020,08.15,26,9175,8831,125
2020,08.16,25,9200,8859,125
2020,08.17,12,9212,8876,125
2020,08.18,7,9219,8902,125
2020,08.19,16,9235,8925,125
2020,08.20,5,9240,8932,125
2020,08.21,9,9249,8945,125
2020,08.22,8,9257,8949,125
2020,08.23,10,9267,8959,125
2020,08.24,7,9274,8965,125
2020,08.25,11,9285,8971,125
2020,08.26,6,9291,8978,125
2020,08.27,5,9296,8994,125
2020,08.28,10,9306,9030,125
2020,08.29,11,9317,9038,125
2020,08.30,17,9334,9048,126
2020,08.31,6,9340,9054,127
2020,09.01,14,9354,9075,128
2020,09.02,6,9360,9079,128
2020,09.03,14,9374,9083,128
2020,09.04,11,9385,9092,128
2020,09.05,6,9391,9113,128
2020,09.06,6,9397,9115,128
2020,09.07,62,9459,9124,128
2020,09.08,100,9559,9136,128
2020,09.09,24,9583,9143,128
2020,09.10,45,9628,9167,128
2020,09.11,182,9810,9181,128
2020,09.12,58,9868,9189,128
2020,09.13,47,9915,9196,128
2020,09.14,31,9946,9203,128
2020,09.15,23,9969,9209,128
2020,09.16,62,10031,9235,128
2020,09.17,21,10052,9250,128
2020,09.18,95,10147,9264,129
2020,09.19,20,10167,9315,130
2020,09.20,52,10219,9355,130
2020,09.21,57,10276,9395,130
2020,09.22,82,10358,9563,130
2020,09.23,147,10505,9602,133
2020,09.24,71,10576,9666,133
2020,09.25,111,10687,9696,133
2020,09.26,82,10769,9785,133
2020,09.27,150,10919,9835,134
2020,09.28,115,11034,9889,134
2020,09.29,101,11135,9939,134
2020,09.30,89,11224,9967,136
2020,10.01,260,11484,10014,136
2020,10.02,287,11771,10095,136
2020,10.03,317,12088,10216,137
2020,10.04,293,12381,10283,137
2020,10.05,432,12813,10340,137
2020,10.06,691,13504,10427,141
2020,10.07,489,13993,10501,141
2020,10.08,375,14368,10519,146
2020,10.09,354,14722,10707,152
2020,10.10,374,15096,10780,155
2020,10.11,561,15657,10913,157
2020,10.12,563,16220,11022,159
2020,10.13,660,16880,11372,163
2020,10.14,660,17540,11605,167
2020,10.15,589,18129,12014,170
2020,10.16,629,18758,12259,176
2020,10.17,869,19627,12561,180
2020,10.18,871,20498,13262,187
2020,10.19,865,21363,13717,190
2020,10.20,862,22225,14351,193
2020,10.21,732,22957,14931,199
2020,10.22,847,23804,15417,204
2020,10.23,710,24514,15884,214
2020,10.24,1228,25742,16555,221
2020,10.25,823,26565,17134,229
2020,10.26,1240,27805,17825,236
2020,10.27,835,28640,18499,238
2020,10.28,801,29441,19072,246
2020,10.29,649,30090,19757,246
2020,10.30,799,30889,20248,249
2020,10.31,659,31548,21248,249
2020,11.01,957,32505,22220,249
2020,11.02,834,33339,23120,251
2020,11.03,1054,34393,23995,263
2020,11.04,1032,35425,24815,271
2020,11.05,1009,36434,25654,277
2020,11.06,1755,38189,26380,279
2020,11.07,1168,39357,27409,282
2020,11.08,852,40209,28234,286
2020,11.09,972,41181,29579,294
2020,11.10,0,41181,29579,294
2020,11.11,869,42050,30304,300
