year,date,confirm_add,confirm,heal,dead
2020,03.07,1,1,0,0
2020,03.08,0,1,0,0
2020,03.09,0,1,0,0
2020,03.10,3,4,0,0
2020,03.11,1,5,0,0
2020,03.12,1,6,0,0
2020,03.13,0,6,0,0
2020,03.14,0,6,0,0
2020,03.15,12,18,0,0
2020,03.16,0,18,0,0
2020,03.17,0,18,0,0
2020,03.18,0,18,0,0
2020,03.19,20,38,2,0
2020,03.20,0,38,2,0
2020,03.21,26,64,2,0
2020,03.22,26,90,2,0
2020,03.23,17,107,2,0
2020,03.24,3,110,2,0
2020,03.25,19,129,2,0
2020,03.26,5,134,2,0
2020,03.27,5,139,2,0
2020,03.28,10,149,2,0
2020,03.29,85,149,2,0
2020,03.30,7,156,2,0
2020,03.31,13,169,2,0
2020,04.01,19,188,2,0
2020,04.02,8,196,2,0
2020,04.03,6,202,2,0
2020,04.04,11,213,2,0
2020,04.05,14,227,2,0
2020,04.06,14,241,5,0
2020,04.07,52,293,5,0
2020,04.08,6,299,5,0
2020,04.09,38,337,16,2
2020,04.10,13,350,16,2
2020,04.11,20,370,16,3
2020,04.12,8,378,44,3
2020,04.13,6,384,44,3
2020,04.14,9,393,44,3
2020,04.15,6,399,44,3
2020,04.16,13,412,82,3
2020,04.17,10,422,91,3
2020,04.18,4,426,99,3
2020,04.19,1,427,118,3
2020,04.20,4,431,126,3
2020,04.21,12,443,150,3
2020,04.22,1,444,165,3
2020,04.23,1,445,204,3
2020,04.24,2,447,223,3
2020,04.25,1,448,249,4
2020,04.26,0,448,282,4
2020,04.27,2,450,286,4
2020,04.28,8,458,303,4
2020,04.29,5,463,339,4
2020,04.30,2,465,351,4
2020,05.01,0,465,351,4
2020,05.02,3,468,379,4
2020,05.03,0,468,379,4
2020,05.04,12,480,399,4
2020,05.05,2,482,403,5
2020,05.06,2,484,407,5
2020,05.07,2,486,413,5
2020,05.08,3,489,419,5
2020,05.09,1,490,427,5
2020,05.10,6,496,433,5
2020,05.11,7,503,434,5
2020,05.12,3,506,434,5
2020,05.13,2,508,436,6
2020,05.14,14,522,443,6
2020,05.15,10,532,458,6
2020,05.16,14,546,450,6
2020,05.17,7,553,454,6
2020,05.18,5,558,456,6
2020,05.19,11,569,460,6
2020,05.20,15,584,465,6
2020,05.21,15,599,468,6
2020,05.22,1,600,469,6
2020,05.23,9,609,473,6
2020,05.24,1,610,476,6
2020,05.25,1,611,485,6
2020,05.26,0,611,485,6
2020,05.27,1,612,491,7
2020,05.28,4,616,501,7
2020,05.29,0,616,514,8
2020,05.30,2,618,525,9
2020,05.31,0,618,534,9
2020,06.01,1,619,537,9
2020,06.02,1,620,554,9
2020,06.03,0,620,554,9
2020,06.04,2,622,576,9
2020,06.05,3,625,583,9
2020,06.06,2,627,596,9
2020,06.07,2,629,596,9
2020,06.08,1,630,596,9
2020,06.09,2,632,597,9
2020,06.10,0,632,597,9
2020,06.11,8,640,600,9
2020,06.12,5,645,600,9
2020,06.13,1,646,601,9
2020,06.14,3,649,603,9
2020,06.15,1,650,603,9
2020,06.16,6,656,608,9
2020,06.17,6,662,610,9
2020,06.18,1,663,610,9
2020,06.19,0,663,613,9
2020,06.20,1,664,616,9
2020,06.21,1,665,616,9
2020,06.22,0,665,617,9
2020,06.23,0,665,618,9
2020,06.24,0,665,624,9
2020,06.25,3,668,627,9
2020,06.26,2,670,632,9
2020,06.27,0,670,635,9
2020,06.28,0,670,636,9
2020,06.29,0,670,639,9
2020,06.30,0,670,640,9
2020,07.01,1,671,647,9
2020,07.02,0,671,649,9
2020,07.03,1,672,650,9
2020,07.04,0,672,650,9
2020,07.05,0,672,652,9
2020,07.06,0,672,652,9
2020,07.07,1,673,653,9
2020,07.08,0,673,654,9
2020,07.09,1,674,656,9
2020,07.10,0,674,658,9
2020,07.11,0,674,658,9
2020,07.12,0,674,660,9
2020,07.13,0,674,660,9
2020,07.14,0,674,660,9
2020,07.15,0,674,661,9
2020,07.16,0,674,661,9
2020,07.17,0,674,662,9
2020,07.18,1,675,662,9
2020,07.19,1,676,662,9
2020,07.20,1,677,664,9
2020,07.21,0,677,664,9
2020,07.22,2,679,665,9
2020,07.23,1,680,665,9
